FID,SHAPE,BEZIRK,STRASSE,BEZUG,ONR,BIS,STIEGE,FRAKTION_PA,FRAKTION_BI,FRAKTION_DO,FRAKTION_G,FRAKTION_KV,FRAKTION_TEXT,URL_TEXT,SE_SDO_ROWID,SE_ANNO_CAD_DATA
ALTSTOFFSAMMLUNGOGD.96,POINT (16.370839893197594 48.21954329737095),2,Obere Donaustraße,vor,45C,,,0,0,1,1,1," Altglas, Kunststoff, Altmetall",http://www.wien.gv.at/umwelt/ma48/beratung/muelltrennung/index.html,96,
ALTSTOFFSAMMLUNGOGD.97,POINT (16.40448621258774 48.219543751635),2,Obermüllnerstraße,vor,17,,,0,0,1,1,1," Kunststoff, Altmetall, Altglas",http://www.wien.gv.at/umwelt/ma48/beratung/muelltrennung/index.html,97,
ALTSTOFFSAMMLUNGOGD.98,POINT (16.433553198921114 48.20270904872962),2,Otto-Futterknecht-Weg,gegenüber,PZ,118,,0,0,0,1,0, Altglas,http://www.wien.gv.at/umwelt/ma48/beratung/muelltrennung/index.html,98,
ALTSTOFFSAMMLUNGOGD.388,POINT (16.343039703861063 48.20562323358949),7,Schottenfeldgasse,vor,85,,,0,0,0,1,1," Altglas, Kunststoff",http://www.wien.gv.at/umwelt/ma48/beratung/muelltrennung/index.html,388,
ALTSTOFFSAMMLUNGOGD.389,POINT (16.340657660961522 48.200385003180074),7,Seidengasse,gegenüber,39,,,0,0,0,1,1," Altglas, Kunststoff",http://www.wien.gv.at/umwelt/ma48/beratung/muelltrennung/index.html,389,
ALTSTOFFSAMMLUNGOGD.390,POINT (16.354162925492037 48.20402563958936),7,Stiftgasse,vor,18,,,0,0,0,1,0, Altglas,http://www.wien.gv.at/umwelt/ma48/beratung/muelltrennung/index.html,390,
ALTSTOFFSAMMLUNGOGD.391,POINT (16.355348107381268 48.20138028106657),7,Stiftgasse,vor,2,,,0,1,1,1,1," Altmetall, Kunststoff, Altglas, Biomüll",http://www.wien.gv.at/umwelt/ma48/beratung/muelltrennung/index.html,391,
ALTSTOFFSAMMLUNGOGD.392,POINT (16.35483292320743 48.202252615597864),7,Stiftgasse,gegenüber,21,,,0,0,1,1,1," Altglas, Kunststoff, Altmetall",http://www.wien.gv.at/umwelt/ma48/beratung/muelltrennung/index.html,392,
ALTSTOFFSAMMLUNGOGD.393,POINT (16.338973360620663 48.20153133011774),7,Urban-Loritz-Platz,gegenüber,7,,,0,1,1,1,1," Kunststoff, Altmetall, Altglas, Biomüll",http://www.wien.gv.at/umwelt/ma48/beratung/muelltrennung/index.html,393,
ALTSTOFFSAMMLUNGOGD.394,POINT (16.34298617693836 48.20177568287071),7,Westbahnstraße,vor,25,,,0,0,0,1,0, Altglas,http://www.wien.gv.at/umwelt/ma48/beratung/muelltrennung/index.html,394,
ALTSTOFFSAMMLUNGOGD.395,POINT (16.34509044168564 48.20021917551204),7,Zieglergasse,vor,26A,,,0,1,1,1,1," Kunststoff, Altmetall, Altglas, Biomüll",http://www.wien.gv.at/umwelt/ma48/beratung/muelltrennung/index.html,395,
ALTSTOFFSAMMLUNGOGD.396,POINT (16.345088686176595 48.20171069594749),7,Zieglergasse,vor,38,,,0,0,1,1,1," Altglas, Kunststoff, Altmetall",http://www.wien.gv.at/umwelt/ma48/beratung/muelltrennung/index.html,396,
ALTSTOFFSAMMLUNGOGD.397,POINT (16.34493992203615 48.20417304168087),7,Zieglergasse,vor,57,,,0,0,0,1,1," Altglas, Kunststoff",http://www.wien.gv.at/umwelt/ma48/beratung/muelltrennung/index.html,397,
ALTSTOFFSAMMLUNGOGD.398,POINT (16.345056249411382 48.206993204306684),7,Zieglergasse,vor,85,,,0,0,0,1,0, Altglas,http://www.wien.gv.at/umwelt/ma48/beratung/muelltrennung/index.html,398,
ALTSTOFFSAMMLUNGOGD.399,POINT (16.350330143407934 48.201325256029776),7,Zollergasse,vor,35,,,0,0,1,0,1," Kunststoff, Altmetall",http://www.wien.gv.at/umwelt/ma48/beratung/muelltrennung/index.html,399,
ALTSTOFFSAMMLUNGOGD.400,POINT (16.34374088771761 48.20906622717677),8,Albertgasse,vor,11,,,0,0,0,1,0, Altglas,http://www.wien.gv.at/umwelt/ma48/beratung/muelltrennung/index.html,400,
ALTSTOFFSAMMLUNGOGD.401,POINT (16.343677322198555 48.21410051901401),8,Albertplatz,bei,4,,,0,0,1,1,1," Kunststoff, Altmetall, Altglas",http://www.wien.gv.at/umwelt/ma48/beratung/muelltrennung/index.html,401,
ALTSTOFFSAMMLUNGOGD.402,POINT (16.34897016726024 48.21501240290387),8,Alser Straße,gegenüber,18,,,0,0,0,1,1," Kunststoff, Altglas",http://www.wien.gv.at/umwelt/ma48/beratung/muelltrennung/index.html,402,
ALTSTOFFSAMMLUNGOGD.403,POINT (16.354805267667476 48.20904301140424),8,Auerspergstraße,gegenüber,19,,,0,0,0,1,1," Kunststoff, Altglas",http://www.wien.gv.at/umwelt/ma48/beratung/muelltrennung/index.html,403,
ALTSTOFFSAMMLUNGOGD.404,POINT (16.342129506635843 48.21198316951751),8,Bennoplatz,vor,4,,,0,0,1,1,1," Altglas, Kunststoff, Altmetall",http://www.wien.gv.at/umwelt/ma48/beratung/muelltrennung/index.html,404,
ALTSTOFFSAMMLUNGOGD.405,POINT (16.342109623453872 48.21224388259137),8,Bennoplatz,gegenüber,5,,,0,1,0,0,0, Biomüll,http://www.wien.gv.at/umwelt/ma48/beratung/muelltrennung/index.html,405,
ALTSTOFFSAMMLUNGOGD.406,POINT (16.34145090377668 48.214077083036756),8,Blindengasse,gegenüber,46A,,,0,0,1,1,1," Kunststoff, Altmetall, Altglas",http://www.wien.gv.at/umwelt/ma48/beratung/muelltrennung/index.html,406,
ALTSTOFFSAMMLUNGOGD.407,POINT (16.345397698367293 48.213565748179796),8,Feldgasse,vor,9,,,1,0,0,1,1," Altpapier, Altglas, Kunststoff",http://www.wien.gv.at/umwelt/ma48/beratung/muelltrennung/index.html,407,
ALTSTOFFSAMMLUNGOGD.408,POINT (16.3438605417648 48.21200177076611),8,Florianigasse,vor,56,,,0,0,0,1,1," Altglas, Kunststoff",http://www.wien.gv.at/umwelt/ma48/beratung/muelltrennung/index.html,408,
ALTSTOFFSAMMLUNGOGD.409,POINT (16.35392764240302 48.21218671492553),8,Florianigasse,vor,8,,,0,0,0,1,0, Altglas,http://www.wien.gv.at/umwelt/ma48/beratung/muelltrennung/index.html,409,
ALTSTOFFSAMMLUNGOGD.410,POINT (16.355314983969503 48.21098707152822),8,Friedrich-Schmidt-Platz,gegenüber,5,,,0,0,1,1,1," Altglas, Altglas, Kunststoff, Altmetall",http://www.wien.gv.at/umwelt/ma48/beratung/muelltrennung/index.html,410,
ALTSTOFFSAMMLUNGOGD.411,POINT (16.33957504092906 48.21248950176738),8,Hernalser Gürtel,gegenüber,2,,,0,0,1,1,1," Altmetall, Altglas, Altglas, Kunststoff",http://www.wien.gv.at/umwelt/ma48/beratung/muelltrennung/index.html,411,
ALTSTOFFSAMMLUNGOGD.412,POINT (16.347767189784346 48.20971618388065),8,Josefstädter Straße,vor,39,,,0,0,1,1,1," Kunststoff, Altmetall, Altglas, Altglas",http://www.wien.gv.at/umwelt/ma48/beratung/muelltrennung/index.html,412,
ALTSTOFFSAMMLUNGOGD.413,POINT (16.344728022596072 48.21048779795209),8,Josefstädter Straße,vor,62,,,0,0,0,1,0," Altglas, Altglas",http://www.wien.gv.at/umwelt/ma48/beratung/muelltrennung/index.html,413,
ALTSTOFFSAMMLUNGOGD.414,POINT (16.346378786493105 48.211694904996094),8,Krotenthallergasse,gegenüber,4,,,0,0,0,1,1," Altglas, Kunststoff",http://www.wien.gv.at/umwelt/ma48/beratung/muelltrennung/index.html,414,
ALTSTOFFSAMMLUNGOGD.415,POINT (16.355689559528955 48.21306065353692),8,Landesgerichtsstraße,neben,9A,,,0,0,1,1,1," Altglas, Altglas, Altmetall, Kunststoff",http://www.wien.gv.at/umwelt/ma48/beratung/muelltrennung/index.html,415,
ALTSTOFFSAMMLUNGOGD.416,POINT (16.352190572151418 48.2096934348871),8,Lange Gasse,vor,30,,,0,0,1,1,1," Altglas, Kunststoff, Altmetall",http://www.wien.gv.at/umwelt/ma48/beratung/muelltrennung/index.html,416,
ALTSTOFFSAMMLUNGOGD.417,POINT (16.35080499781857 48.21483555629943),8,Lange Gasse,gegenüber,78,,,0,0,0,1,0," Altglas, Altglas",http://www.wien.gv.at/umwelt/ma48/beratung/muelltrennung/index.html,417,
ALTSTOFFSAMMLUNGOGD.418,POINT (16.351276210533037 48.21340567112504),8,Laudongasse,vor,12,,,0,0,1,1,1," Kunststoff, Altmetall, Altglas",http://www.wien.gv.at/umwelt/ma48/beratung/muelltrennung/index.html,418,
ALTSTOFFSAMMLUNGOGD.419,POINT (16.346817614996795 48.21322487281192),8,Laudongasse,vor,36,,,0,1,1,1,1," Kunststoff, Altmetall, Biomüll, Altglas, Altglas",http://www.wien.gv.at/umwelt/ma48/beratung/muelltrennung/index.html,419,
ALTSTOFFSAMMLUNGOGD.420,POINT (16.341099619629755 48.213213574959354),8,Laudongasse,vor,64,,,0,0,0,1,0, Altglas,http://www.wien.gv.at/umwelt/ma48/beratung/muelltrennung/index.html,420,
ALTSTOFFSAMMLUNGOGD.99,POINT (16.38261572907708 48.21359393026111),2,Praterstraße,gegenüber,19,,,0,0,1,1,1," Kunststoff, Altmetall, Altglas, Altglas",http://www.wien.gv.at/umwelt/ma48/beratung/muelltrennung/index.html,99,
ALTSTOFFSAMMLUNGOGD.100,POINT (16.383977819033294 48.21470555560747),2,Praterstraße,vor,29,,,0,1,1,1,1," Kunststoff, Altmetall, Biomüll, Altglas",http://www.wien.gv.at/umwelt/ma48/beratung/muelltrennung/index.html,100,
ALTSTOFFSAMMLUNGOGD.101,POINT (16.384151668256564 48.21441473390844),2,Praterstraße,vor,32,,,0,0,0,1,0, Altglas,http://www.wien.gv.at/umwelt/ma48/beratung/muelltrennung/index.html,101,
ALTSTOFFSAMMLUNGOGD.102,POINT (16.386812013869335 48.21587174212203),2,Praterstraße,vor,50,,,0,0,0,1,0, Altglas,http://www.wien.gv.at/umwelt/ma48/beratung/muelltrennung/index.html,102,
ALTSTOFFSAMMLUNGOGD.103,POINT (16.440003618774114 48.19114228398713),2,Rennbahnstraße,neben,200,,,1,1,1,1,1," Kunststoff, Altmetall, Altpapier, Altglas, Altglas, Biomüll",http://www.wien.gv.at/umwelt/ma48/beratung/muelltrennung/index.html,103,
ALTSTOFFSAMMLUNGOGD.104,POINT (16.379597735904152 48.21804259290338),2,Rotenkreuzgasse,gegenüber,8,,,0,0,0,1,0, Altglas,http://www.wien.gv.at/umwelt/ma48/beratung/muelltrennung/index.html,104,
ALTSTOFFSAMMLUNGOGD.105,POINT (16.3857312537538 48.2167646059188),2,Rotensterngasse,neben,31,,,0,0,0,1,0, Altglas,http://www.wien.gv.at/umwelt/ma48/beratung/muelltrennung/index.html,105,
ALTSTOFFSAMMLUNGOGD.106,POINT (16.386539952155204 48.21617223362762),2,Rotensterngasse,gegenüber,37,,,0,0,1,1,1," Kunststoff, Altmetall, Altglas",http://www.wien.gv.at/umwelt/ma48/beratung/muelltrennung/index.html,106,
ALTSTOFFSAMMLUNGOGD.107,POINT (16.400498706233435 48.206064304504345),2,Rustenschacherallee,vor,26,,,0,1,1,1,1," Altmetall, Biomüll, Altglas, Kunststoff",http://www.wien.gv.at/umwelt/ma48/beratung/muelltrennung/index.html,107,
ALTSTOFFSAMMLUNGOGD.108,POINT (16.40310549635913 48.204296372810326),2,Rustenschacherallee,vor,42,,,0,1,0,1,1," Altglas, Biomüll, Kunststoff",http://www.wien.gv.at/umwelt/ma48/beratung/muelltrennung/index.html,108,
ALTSTOFFSAMMLUNGOGD.109,POINT (16.399281890522445 48.207988711155345),2,Rustenschacherallee,gegenüber,7,,,0,1,0,0,0, Biomüll,http://www.wien.gv.at/umwelt/ma48/beratung/muelltrennung/index.html,109,
ALTSTOFFSAMMLUNGOGD.110,POINT (16.3736361238043 48.21889517956879),2,Schiffamtsgasse,bei,5,,,0,0,0,1,0, Altglas,http://www.wien.gv.at/umwelt/ma48/beratung/muelltrennung/index.html,110,
ALTSTOFFSAMMLUNGOGD.111,POINT (16.398024695675375 48.206742491480256),2,Schüttelstraße,vor,39,,,0,1,1,0,1," Kunststoff, Altmetall, Biomüll",http://www.wien.gv.at/umwelt/ma48/beratung/muelltrennung/index.html,111,
ALTSTOFFSAMMLUNGOGD.112,POINT (16.39815165082237 48.20581036975274),2,Schüttelstraße,vor,47,,,0,0,0,1,0, Altglas,http://www.wien.gv.at/umwelt/ma48/beratung/muelltrennung/index.html,112,
ALTSTOFFSAMMLUNGOGD.113,POINT (16.393788757006032 48.213011051039224),2,Schüttelstraße,neben,7,,,0,0,0,1,0, Altglas,http://www.wien.gv.at/umwelt/ma48/beratung/muelltrennung/index.html,113,
ALTSTOFFSAMMLUNGOGD.114,POINT (16.407927615374984 48.219224103246034),2,Sebastian-Kneipp-Gasse,neben,13,,,0,1,1,0,1," Kunststoff, Altmetall, Biomüll",http://www.wien.gv.at/umwelt/ma48/beratung/muelltrennung/index.html,114,
ALTSTOFFSAMMLUNGOGD.115,POINT (16.407086114742928 48.21872460650283),2,Sebastian-Kneipp-Gasse,gegenüber,8,,,0,0,0,1,0, Altglas,http://www.wien.gv.at/umwelt/ma48/beratung/muelltrennung/index.html,115,
ALTSTOFFSAMMLUNGOGD.116,POINT (16.41787666297449 48.21269668854832),2,Stella-Klein-Löw-Weg,neben,1,,,0,0,1,1,1," Altmetall, Kunststoff, Altglas",http://www.wien.gv.at/umwelt/ma48/beratung/muelltrennung/index.html,116,
ALTSTOFFSAMMLUNGOGD.117,POINT (16.403456239204623 48.21886555635098),2,Stuwerstraße,gegenüber,40,,,0,0,0,1,0, Altglas,http://www.wien.gv.at/umwelt/ma48/beratung/muelltrennung/index.html,117,
ALTSTOFFSAMMLUNGOGD.118,POINT (16.409827810901213 48.220181840229976),2,Teuffenbachstraße,gegenüber,1,,,0,1,1,1,1," Kunststoff, Altmetall, Altglas, Biomüll",http://www.wien.gv.at/umwelt/ma48/beratung/muelltrennung/index.html,118,
ALTSTOFFSAMMLUNGOGD.119,POINT (16.386210570773937 48.22502200480585),2,Trunnerstraße,neben,5,,,0,1,1,1,1," Altglas, Altmetall, Kunststoff, Biomüll",http://www.wien.gv.at/umwelt/ma48/beratung/muelltrennung/index.html,119,
ALTSTOFFSAMMLUNGOGD.120,POINT (16.373893003300484 48.221792331114315),2,Untere Augartenstraße,bei,25,,,0,1,1,1,1," Kunststoff, Altmetall, Altglas, Altglas, Biomüll",http://www.wien.gv.at/umwelt/ma48/beratung/muelltrennung/index.html,120,
ALTSTOFFSAMMLUNGOGD.121,POINT (16.396847274643754 48.21851122327894),2,Venediger Au,vor,10,,,0,0,1,1,1," Altmetall, Altglas, Kunststoff",http://www.wien.gv.at/umwelt/ma48/beratung/muelltrennung/index.html,121,
ALTSTOFFSAMMLUNGOGD.122,POINT (16.39622028928639 48.21998679108519),2,Venediger Au,gegenüber,3,,,0,1,1,1,1," Kunststoff, Altmetall, Altglas, Biomüll",http://www.wien.gv.at/umwelt/ma48/beratung/muelltrennung/index.html,122,
ALTSTOFFSAMMLUNGOGD.123,POINT (16.39309366315812 48.214123043620425),2,Vivariumstraße,vor,6,,,0,1,1,1,1," Kunststoff, Altmetall, Biomüll, Altglas",http://www.wien.gv.at/umwelt/ma48/beratung/muelltrennung/index.html,123,
ALTSTOFFSAMMLUNGOGD.124,POINT (16.385621134253523 48.22285194293776),2,Volkertplatz,gegenüber,1,,,0,1,1,1,1," Kunststoff, Altmetall, Altglas, Kunststoff, Biomüll",http://www.wien.gv.at/umwelt/ma48/beratung/muelltrennung/index.html,124,
ALTSTOFFSAMMLUNGOGD.125,POINT (16.3986773444013 48.22659994356126),2,Vorgartenstraße,vor,126,,,0,0,1,1,1," Altglas, Altmetall, Kunststoff",http://www.wien.gv.at/umwelt/ma48/beratung/muelltrennung/index.html,125,
ALTSTOFFSAMMLUNGOGD.126,POINT (16.400281732849855 48.22513605288032),2,Vorgartenstraße,neben,134,138,,0,0,0,1,1," Kunststoff, Altglas, Altglas",http://www.wien.gv.at/umwelt/ma48/beratung/muelltrennung/index.html,126,
ALTSTOFFSAMMLUNGOGD.127,POINT (16.403730317350306 48.222711499120194),2,Vorgartenstraße,vor,199,,,0,1,1,1,1," Kunststoff, Altmetall, Altglas, Biomüll",http://www.wien.gv.at/umwelt/ma48/beratung/muelltrennung/index.html,127,
ALTSTOFFSAMMLUNGOGD.128,POINT (16.409771120016256 48.218095553298625),2,Vorgartenstraße,gegenüber,202,,,0,1,1,1,1," Altglas, Kunststoff, Biomüll, Altmetall",http://www.wien.gv.at/umwelt/ma48/beratung/muelltrennung/index.html,128,
ALTSTOFFSAMMLUNGOGD.129,POINT (16.395015175599205 48.229948319482766),2,Vorgartenstraße,neben,98,,,0,0,0,1,0, Altglas,http://www.wien.gv.at/umwelt/ma48/beratung/muelltrennung/index.html,129,
ALTSTOFFSAMMLUNGOGD.130,POINT (16.397222728429917 48.223482441501666),2,Walcherstraße,gegenüber,7,,,0,0,1,1,1," Altglas, Altmetall, Kunststoff",http://www.wien.gv.at/umwelt/ma48/beratung/muelltrennung/index.html,130,
ALTSTOFFSAMMLUNGOGD.131,POINT (16.40057599841696 48.22807161153462),2,Wehlistraße,vor,131,143,,0,1,1,1,1," Kunststoff, Altmetall, Altglas, Biomüll",http://www.wien.gv.at/umwelt/ma48/beratung/muelltrennung/index.html,131,
ALTSTOFFSAMMLUNGOGD.132,POINT (16.437261498951692 48.201410824895135),2,Wehlistraße,vor,303,,,0,1,1,1,1," Kunststoff, Altmetall, Altglas, Biomüll",http://www.wien.gv.at/umwelt/ma48/beratung/muelltrennung/index.html,132,
ALTSTOFFSAMMLUNGOGD.133,POINT (16.435365317945223 48.199164180897355),2,Wehlistraße,gegenüber,309,,,0,1,1,1,1," Kunststoff, Altmetall, Biomüll, Altglas",http://www.wien.gv.at/umwelt/ma48/beratung/muelltrennung/index.html,133,
ALTSTOFFSAMMLUNGOGD.134,POINT (16.397890554453024 48.2209303663273),2,Wolfgang-Schmälzl-Gasse,neben,6,,,0,0,0,1,0, Altglas,http://www.wien.gv.at/umwelt/ma48/beratung/muelltrennung/index.html,134,
ALTSTOFFSAMMLUNGOGD.135,POINT (16.383317489601705 48.21510089878699),2,Zirkusgasse,gegenüber,11,,,0,0,1,1,1," Kunststoff, Altmetall, Altglas",http://www.wien.gv.at/umwelt/ma48/beratung/muelltrennung/index.html,135,
ALTSTOFFSAMMLUNGOGD.136,POINT (16.38649252830026 48.21844293816279),2,Zirkusgasse,vor,50,,,0,0,0,1,1," Altglas, Kunststoff",http://www.wien.gv.at/umwelt/ma48/beratung/muelltrennung/index.html,136,
ALTSTOFFSAMMLUNGOGD.137,POINT (16.391838207786463 48.19056663703245),3,Adolf-Blamauer-Gasse,neben,3,,,0,0,0,1,0, Altglas,http://www.wien.gv.at/umwelt/ma48/beratung/muelltrennung/index.html,137,
ALTSTOFFSAMMLUNGOGD.138,POINT (16.378825421040396 48.200730210928015),3,Am Heumarkt,vor,23,,,0,1,1,1,1," Kunststoff, Altmetall, Altglas, Biomüll",http://www.wien.gv.at/umwelt/ma48/beratung/muelltrennung/index.html,138,
ALTSTOFFSAMMLUNGOGD.139,POINT (16.382651170068524 48.20030370574939),3,Am Modenapark,gegenüber,3,,,0,1,0,0,0, Biomüll,http://www.wien.gv.at/umwelt/ma48/beratung/muelltrennung/index.html,139,
ALTSTOFFSAMMLUNGOGD.140,POINT (16.382400325025703 48.19915546665263),3,Am Modenapark,gegenüber,9,,,0,1,1,1,1," Kunststoff, Altmetall, Altglas, Biomüll",http://www.wien.gv.at/umwelt/ma48/beratung/muelltrennung/index.html,140,
ALTSTOFFSAMMLUNGOGD.141,POINT (16.382320515414307 48.20568464199219),3,Am Stadtpark,gegenüber,1,,,0,1,1,1,1," Kunststoff, Biomüll, Altmetall, Altglas",http://www.wien.gv.at/umwelt/ma48/beratung/muelltrennung/index.html,141,
