FID,OBJECTID,SHAPE,KATEGORIE_TXT,ADRESSE,FLAECHE,SPORTSTAETTEN_ART,WEBLINK1,SE_ANNO_CAD_DATA
SPORTSTAETTENOGD.298,298,POINT (16.33557091966256 48.20187184830611),÷ffentlich outdoor,"15., H¸tteldorfer Straﬂe, Wurzbachgasse",400,polysportiver Hartplatz,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPORTSTAETTENOGD.299,299,POINT (16.318997832414382 48.196653094628566),÷ffentlich outdoor,"15., Johnstraﬂe, M‰rzstraﬂe",616,polysportiver Hartplatz,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPORTSTAETTENOGD.300,300,POINT (16.319788598700335 48.198049582477005),÷ffentlich outdoor,"15., Meiselmarkt",100,polysportiver Hartplatz,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPORTSTAETTENOGD.301,301,POINT (16.334007912716512 48.2036486148263),Sporthalle,"15., Moeringgasse 20",3368,Fitnesscenter,http://www.clubdanube.at/cd_index.php,
SPORTSTAETTENOGD.302,302,POINT (16.331074690426338 48.19835900165207),÷ffentlich outdoor,"15., Reithofferplatz",310,polysportiver Hartplatz,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPORTSTAETTENOGD.303,303,POINT (16.331138379616565 48.19489491550965),÷ffentlich outdoor,"15., Rosinagasse, Zwˆlfergasse",134,polysportiver Hartplatz,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPORTSTAETTENOGD.304,304,POINT (16.3289664064783 48.20117160125735),Sporthalle,"15., Tellgasse 3",4173,Sporthalle (polysportiv),http://www.wien.gv.at/freizeit/sportamt/sportstaetten/hallen/fuenfhaus.html,
SPORTSTAETTENOGD.305,305,POINT (16.335010494097027 48.18788364457741),÷ffentlich outdoor,"15., Ullmannstraﬂe 18 gg¸",680,polysportiver Hartplatz,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPORTSTAETTENOGD.306,306,POINT (16.33236759083136 48.19393044091201),Vereinssport outdoor,"15., Viktoriagasse 4",991,polysportiver Hartplatz,,
SPORTSTAETTENOGD.307,307,POINT (16.331728523357356 48.20385377617054),÷ffentlich outdoor,"15., Vogelweidplatz",600,"polysportiver Hartplatz,<br />Skateranlage",http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPORTSTAETTENOGD.308,308,POINT (16.331692227870715 48.201935528351505),Sporthalle,"15., Vogelweidplatz 14",5000,"3 Sporthallen - Hallen A und B (polysportiv),<br />Halle C (Eissport)",http://www.wien.gv.at/freizeit/sportamt,
SPORTSTAETTENOGD.309,309,POINT (16.319046207512656 48.19395811032495),÷ffentlich outdoor,"15., Wieningerplatz",478,polysportiver Hartplatz,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPORTSTAETTENOGD.310,310,POINT (16.318796942498437 48.18882331367336),÷ffentlich outdoor,"15., Winckelmannstraﬂe, Linke Wienzeile",645,polysportiver Hartplatz,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPORTSTAETTENOGD.311,311,POINT (16.303931881026628 48.21521962190437),Vereinssport outdoor,"16., Erdbrustgasse 4",5000,Tennisanlage (9 Pl‰tze),http://wat-ottakring.askoe.or.at/,
SPORTSTAETTENOGD.312,312,POINT (16.303945331612073 48.215228618827524),Sporthalle,"16., Erdbrustgasse 4",1100,Basketballhalle,http://wat-ottakring.askoe.or.at/,
SPORTSTAETTENOGD.313,313,POINT (16.30395878220223 48.215237615749054),Vereinssport outdoor,"16., Erdbrustgasse 4",32928,"Rasenplatz,<br />Kunstrasenplatz (Fuﬂball)",http://www.wienersportklub.at,
SPORTSTAETTENOGD.314,314,POINT (16.31826655484851 48.214708863364564),÷ffentlich outdoor,"16., Familienplatz 1-9",180,polysportiver Hartplatz,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPORTSTAETTENOGD.315,315,POINT (16.31299609484057 48.208978287799354),÷ffentlich outdoor,"16., Hettenkofergasse, Koppstraﬂe",510,polysportiver Hartplatz,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPORTSTAETTENOGD.316,316,POINT (16.333295031403566 48.20861400459438),÷ffentlich outdoor,"16., Hofferplatz",420,polysportive Hartpl‰tze,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPORTSTAETTENOGD.317,317,POINT (16.304790071931116 48.214190230749615),÷ffentlich outdoor,"16., Karl-Kantner-Park",384,polysportiver Hartplatz,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPORTSTAETTENOGD.318,318,POINT (16.309340139671264 48.203436168563705),÷ffentlich outdoor,"16., Kendlerstraﬂe 38",820,Skateranlage,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPORTSTAETTENOGD.319,319,POINT (16.309464115301992 48.20381624927604),Vereinssport outdoor,"16., Kendlerstraﬂe 38a",23797,"Rasenplatz,<br />Kunstrasenplatz (Fuﬂball),<br />Kunstrasenmehrzweckplatz",http://www.redstar-penzing.at/,
SPORTSTAETTENOGD.320,320,POINT (16.30954019399919 48.2042788951043),Sporthalle,"16., Kendlerstraﬂe 38b",2000,Kegelbahn,http://www.postnord.at/,
SPORTSTAETTENOGD.321,321,POINT (16.309110002891657 48.204374283818716),Sporthalle,"16., Kendlerstraﬂe 41",10270,"Fitnesscenter (Badminton, Squash, Tennis, Fitness)",http://www.clubdanube.at/cd_index.php,
SPORTSTAETTENOGD.322,322,POINT (16.31010247343095 48.20594166401271),Vereinssport outdoor,"16., Kendlerstraﬂe 42",23050,"Rasenplatz,<br />Kunstrasenplatz (Fuﬂball)",http://www.helfort.at/,
SPORTSTAETTENOGD.323,323,POINT (16.33411598807186 48.20598963200187),÷ffentlich outdoor,"16., Ludo-Hartmann-Platz",572,polysportive Hartpl‰tze,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPORTSTAETTENOGD.324,324,POINT (16.31259097111717 48.21547289400564),÷ffentlich outdoor,"16., Mildeplatz",782,polysportive Hartpl‰tze,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPORTSTAETTENOGD.325,325,POINT (16.316065496474433 48.21725248832781),÷ffentlich outdoor,"16., Redtenbachergasse 40-44",929,polysportiver Rasenplatz,http://www.wien.gv.at/freizeit/sportamt/sportstaetten/spielplaetze.html,
SPORTSTAETTENOGD.326,326,POINT (16.286621487558577 48.20828667194461),÷ffentlich outdoor,"16., Reichmanngasse, Demuthgasse",560,polysportiver Hartplatz,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPORTSTAETTENOGD.327,327,POINT (16.327377450839613 48.20959711418814),÷ffentlich outdoor,"16., Richard-Wagner-Platz",240,polysportiver Hartplatz,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPORTSTAETTENOGD.328,328,POINT (16.30659714247999 48.21852172597888),Sporthalle,"16., Roterdstraﬂe 2-8",7990,"Sport & Fun Halle (Badminton, Beachvolleyball, Soccer (Kunstrasen), Tischtennis, Fitness)",http://www.wien.gv.at/freizeit/sportamt/sportstaetten/sportfun/ottakring.html,
SPORTSTAETTENOGD.329,329,POINT (16.308116537264233 48.221570156444315),÷ffentlich outdoor,"16., Sandleitengasse 43 gg¸",580,polysportiver Hartplatz,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPORTSTAETTENOGD.330,330,POINT (16.31915105754655 48.21051404259617),÷ffentlich outdoor,"16., Schuhmeierplatz",318,polysportive Hartpl‰tze,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPORTSTAETTENOGD.331,331,POINT (16.309359950936244 48.21268970312731),÷ffentlich outdoor,"16., Stillfriedplatz",644,polysportive Hartpl‰tze,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPORTSTAETTENOGD.332,332,POINT (16.316920561741476 48.22152285576031),÷ffentlich outdoor,"16., Stˆberplatz",624,polysportiver Hartplatz,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPORTSTAETTENOGD.333,333,POINT (16.30820765005216 48.209403774154985),÷ffentlich outdoor,"16., Wiesbergplatz 7 gg¸",540,polysportive Hartpl‰tze,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPORTSTAETTENOGD.334,334,POINT (16.3352860876701 48.21345496997511),÷ffentlich outdoor,"16., Yppenplatz",234,polysportiver Hartplatz,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPORTSTAETTENOGD.335,335,POINT (16.270369898780157 48.23796997163168),Vereinssport outdoor,"17., Amundsenstraﬂe 9 gg¸",4312,polysportiver Rasenplatz,,
SPORTSTAETTENOGD.336,336,POINT (16.338318458286302 48.21917361341956),Sporthalle,"17., Beheimgasse 5-7",1500,Bowlinghalle,http://www.plusbowling.at/wp/,
SPORTSTAETTENOGD.337,337,POINT (16.32204948493156 48.21857123073259),÷ffentlich outdoor,"17., Clemens-Hofbauer-Platz",760,polysportiver Hartplatz,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPORTSTAETTENOGD.338,338,POINT (16.301761656822322 48.23537930033678),÷ffentlich outdoor,"17., Czartoryskigasse, Josef-Redl-Gasse",100,polysportiver Rasenplatz,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPORTSTAETTENOGD.339,339,POINT (16.330269638773718 48.22312031712855),÷ffentlich outdoor,"17., Diepoldplatz 1-14 gg¸",505,polysportive Hartpl‰tze,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPORTSTAETTENOGD.340,340,POINT (16.310735672915758 48.22546398890353),Vereinssport outdoor,"17., Hernalser Hauptstraﬂe 214",13182,Stadion an der Als (Rasenplatz),http://www.wienersportklub.at,
SPORTSTAETTENOGD.341,341,POINT (16.29487770120617 48.225499243438875),Vereinssport outdoor,"17., Jenschikweg 12",21930,"Hockey-Waldstadion (Kunstrasen),<br />Kunstrasenmehrzweckplatz",http://www.arminen.at/,
SPORTSTAETTENOGD.342,342,POINT (16.336330759474457 48.2178783954481),Vereinssport outdoor,"17., Jˆrger Straﬂe 36",2010,Tennisanlage (2 Pl‰tze),http://www.mtvhernals.at/,
SPORTSTAETTENOGD.343,343,POINT (16.33629515478384 48.21779273566182),Sporthalle,"17., Jˆrgerstraﬂe 36",350,Sporthalle (polysportiv),http://www.mtvhernals.at/,
SPORTSTAETTENOGD.344,344,POINT (16.33502481786172 48.218146072665206),Sporthalle,"17., Jˆrgerstraﬂe 42-44",250,Sporthalle (Fitness),http://www.kondition.at/,
SPORTSTAETTENOGD.345,345,POINT (16.323762808824817 48.22433037412458),÷ffentlich outdoor,"17., Lidlgasse, Roggendorfgasse",1320,"polysportiver Hartplatz,<br />Skateranlage",http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPORTSTAETTENOGD.346,346,POINT (16.325929632837006 48.21482454617003),÷ffentlich outdoor,"17., Lorenz-Bayer-Platz",570,polysportiver Hartplatz,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPORTSTAETTENOGD.347,347,POINT (16.27734510562061 48.239292760512704),Vereinssport outdoor,"17., Neuwaldeggerstraﬂe 57a",43540,"Kunstrasenplatz (Fuﬂball),<br />Mehrzweckkunstrasenplatz,<br />polysportiver Rasenplatz,<br />Laufbahn,<br />Beachvolleyballanlage (2 Courts),<br />Tennisanlage (10 Pl‰tze)",http://www.marswiese.at/,
SPORTSTAETTENOGD.348,348,POINT (16.276220933867204 48.23953053765197),Sporthalle,"17., Neuwaldeggerstraﬂe 57a",2100,"Tennishalle (2 Pl‰tze),<br />Sporthalle (polysportiv)",http://www.marswiese.at/,
SPORTSTAETTENOGD.349,349,POINT (16.33051267367869 48.21708277220508),÷ffentlich outdoor,"17., Ortliebgasse 34-40",100,polysportiver Hartplatz,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPORTSTAETTENOGD.350,350,POINT (16.324376553590383 48.22359470828465),Vereinssport outdoor,"17., Roggendorfgasse 2",113130,"Rasenplatz,<br />Kunstrasenplatz (Fuﬂball),<br />Kunstrasenplatz (Hockey),<br />Tennisanlage (44 Pl‰tze),<br />Beachvolleyballanlage,<br />Minigolfanlage",http://www.postsv-wien.at/,
SPORTSTAETTENOGD.351,351,POINT (16.286011896945734 48.22565769342892),÷ffentlich outdoor,"17., Rˆntgengasse, Schrammelgasse",450,polysportiver Hartplatz,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPORTSTAETTENOGD.352,352,POINT (16.326797144839304 48.22615450163982),Sporthalle,"17., Schuhmanngasse 107",7400,Bowlinghalle,http://www.us-play.com/wienhernals/index.php,
SPORTSTAETTENOGD.353,353,POINT (16.338014449934636 48.218933951298986),÷ffentlich outdoor,"17., Syringgasse 6-8",3000,"Kunsteisbahn,<br />Soccerdome",http://www.engelmann.co.at/,
SPORTSTAETTENOGD.354,354,POINT (16.342334582577628 48.22091364023078),÷ffentlich outdoor,"18., Antonigasse, Theresiengasse",194,polysportiver Hartplatz,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPORTSTAETTENOGD.355,355,POINT (16.324937905914165 48.23415325531704),÷ffentlich outdoor,"18., Bischof-Faber-Platz",418,polysportiver Hartplatz,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPORTSTAETTENOGD.356,356,POINT (16.335090413785608 48.236499557487875),÷ffentlich outdoor,"18., Feistmantelstraﬂe 4 gg¸",1800,"1 Beachvolleyballplatz,<br />polysportiver Hartplatz,<br />Skateranlage",http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPORTSTAETTENOGD.357,357,POINT (16.34718722837265 48.23115161306616),÷ffentlich outdoor,"18., Mollgasse 2",476,"polysportiver Rasenplatz,<br />Freibad",http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPORTSTAETTENOGD.358,358,POINT (16.317806182042546 48.231485879324474),÷ffentlich outdoor,"18., Mˆhnergasse, Thimiggasse",375,polysportiver Hartplatz,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPORTSTAETTENOGD.359,359,POINT (16.310153139827907 48.24126633098915),÷ffentlich outdoor,"18., Pˆtzleinsdorfer Straﬂe 65",814,"polysportiver Rasenplatz,<br />1 Beachvolleyballplatz,<br />polysportiver Kunstrasenplatz,<br />polysportiver Hartplatz",http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPORTSTAETTENOGD.360,360,POINT (16.33524982151352 48.226579495317885),÷ffentlich outdoor,"18., Schopenhauerstraﬂe, Vinzenzgasse",500,polysportiver Hartplatz,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPORTSTAETTENOGD.361,361,POINT (16.330199480949368 48.22768833918963),Vereinssport outdoor,"18., Simonygasse 2b",6403,Rasenplatz,http://www.gersthofersv.at/,
SPORTSTAETTENOGD.362,362,POINT (16.32260339603174 48.23289117889348),Vereinssport outdoor,"18., Wallrissstraﬂe 40",2070,"polysportiver Rasenplatz,<br />Beachvolleyballanlage (1 Court)",http://www.tvgersthof.at,
SPORTSTAETTENOGD.363,363,POINT (16.34767538291144 48.23269748547651),Vereinssport outdoor,"18., W‰hringer Park",15496,"3 Rasenmehrzweckpl‰tze,<br />Laufbahn,<br />Skateranlage",http://www.wien.gv.at/freizeit/sportamt/sportstaetten/anlagen/jugendsport/waehringer-park.html,
SPORTSTAETTENOGD.364,364,POINT (16.339299834863663 48.22672604051072),÷ffentlich outdoor,"18., W‰hringer Straﬂe 140 gg¸",390,polysportive Hartpl‰tze,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPORTSTAETTENOGD.365,365,POINT (16.330101743117744 48.2457970401888),÷ffentlich outdoor,"19., Bˆrnergasse 11 gg¸",480,polysportiver Hartplatz,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPORTSTAETTENOGD.366,366,POINT (16.354441927850072 48.232528790277605),Sporthalle,"19., Dˆblinger G¸rtel, Stadtbahnbogen 189-191",250,Sporthalle (Fitness),http://www.sportunion-wien.at/de/menu_main/sportstaetten/marketshow-usz-doebling,
SPORTSTAETTENOGD.367,367,POINT (16.355652923818944 48.24292383988398),÷ffentlich outdoor,"19., Dˆblinger Hauptstraﬂe 96",594,polysportiver Hartplatz,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPORTSTAETTENOGD.368,368,POINT (16.3298560957248 48.24629281779556),Vereinssport outdoor,"19., Erbsenbachgasse 2a",6735,Tennisanlage (7 Pl‰tze),http://www.utc-wien.at,
SPORTSTAETTENOGD.369,369,POINT (16.3577199872918 48.25252379901829),÷ffentlich outdoor,"19., Geweygasse, Steinfeldgasse",600,"polysportiver Hartplatz,<br />Volleyballplatz",http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPORTSTAETTENOGD.370,370,POINT (16.360686823161664 48.25422217923733),Vereinssport outdoor,"19., Grinzinger Straﬂe 111",20478,"Kunstrasenplatz (Fuﬂball),<br />Tennisanlage (4 Pl‰tze)",http://www.nac1907.at,
SPORTSTAETTENOGD.371,371,POINT (16.331673994918336 48.23908689181917),÷ffentlich outdoor,"19., Hart‰ckerstraﬂe 80",1000,"polysportiver Rasenplatz,<br />Kinderfreibad",http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPORTSTAETTENOGD.372,372,POINT (16.362000447035538 48.23926345966932),Sporthalle,"19., Heiligenst‰tter L‰nde 17",1800,Fitnesscenter,http://www.manhattan.at/,
SPORTSTAETTENOGD.373,373,POINT (16.362435708862314 48.25212648735762),÷ffentlich outdoor,"19., Hinterg‰rtengasse",1825,"Wiese,<br />Natureissportfl‰che",01/3709423,
SPORTSTAETTENOGD.374,374,POINT (16.34798328521632 48.24971604407252),÷ffentlich outdoor,"19., Hungerbergstraﬂe 24 gg¸",200,polysportiver Hartplatz,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPORTSTAETTENOGD.375,375,POINT (16.359461372621 48.24742751105061),Vereinssport outdoor,"19., Klabundgasse",85252,"Stadion Hohe Warte (1 Rasenplatz, 2 Kunstrasenpl‰tze),<br />Tennisanlage (11 Pl‰tze)",http://www.firstviennafc.at,
SPORTSTAETTENOGD.376,376,POINT (16.318409408513233 48.24579206378571),÷ffentlich outdoor,"19., Kliergasse, Kranlweg",256,polysportiver Hartplatz,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPORTSTAETTENOGD.377,377,POINT (16.366570395124498 48.253684599194145),÷ffentlich outdoor,"19., Kreilplatz 1 gg¸",661,"Hartplatz,<br />Beachvolleyballplatz",http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPORTSTAETTENOGD.378,378,POINT (16.336569766201958 48.240095912923294),Vereinssport outdoor,"19., Krottenbachstraﬂe 53",13660,Kunstrasenplatz (Fuﬂball),http://www.dsvfortuna05.at,
SPORTSTAETTENOGD.379,379,POINT (16.350351822409603 48.28157225514746),Vereinssport outdoor,"19., Kuchelauer Hafenstraﬂe 115",185,Fitness,,
SPORTSTAETTENOGD.380,380,POINT (16.353739733211295 48.27796511529236),Vereinssport outdoor,"19., Kuchelauer Hafenstraﬂe 12",978,"Bootsport (Rudern, Kanu)",http://www.kanuverband.at,
SPORTSTAETTENOGD.381,381,POINT (16.345553716553866 48.289610146794956),Vereinssport outdoor,"19., Kuchelau 134",6550,"Bootsport (Rudern, Kanu)",,
SPORTSTAETTENOGD.382,382,POINT (16.353325120570158 48.27859136558199),Vereinssport outdoor,"19., Kuchelauer Hafenstraﬂe 14-16",1940,"Bootsport (Rudern, Kanu)",http://www.wat-online.at/wat.html,
SPORTSTAETTENOGD.383,383,POINT (16.351245738971205 48.283382203436624),Vereinssport outdoor,"19., Kuchelau 222",473,"Bootsport (Rudern, Kanu)",http://www.oetb.at,
SPORTSTAETTENOGD.384,384,POINT (16.35090992856589 48.28378850425134),Vereinssport outdoor,"19., Kuchelau 224",517,"Bootsport (Rudern, Kanu)",http://doebling.naturfreunde.at,
SPORTSTAETTENOGD.385,385,POINT (16.35172870103758 48.28071989305424),Vereinssport outdoor,"19., Kuchelauer Hafenstraﬂe 36+73",2023,"Bootsport (Rudern, Kanu)",http://www.asvoewien.at/de/menu_2/vereinssuche/dbshow-3-1639?&field[userdb_14][]=23&page=1,
SPORTSTAETTENOGD.386,386,POINT (16.354381281684443 48.27715464944117),Vereinssport outdoor,"19., Kuchelauer Hafenstraﬂe 4",1343,"Bootsport (Rudern, Kanu)",http://www.ruderclub.at,
SPORTSTAETTENOGD.387,387,POINT (16.354317650322336 48.27741662765444),Vereinssport outdoor,"19., Kuchelauer Hafenstraﬂe 6",1250,"Bootsport (Rudern, Kanu)",http://www.naturfreunde.at,
SPORTSTAETTENOGD.388,388,POINT (16.35199429365443 48.27995634542132),Vereinssport outdoor,"19., Kuchelauer Hafenstraﬂe 71",1300,"polysportiver Rasenplatz,<br />Beachvolleyballanlage (1 Court)",http://www.wat-online.at/wat.html,
SPORTSTAETTENOGD.389,389,POINT (16.357013430239597 48.27621739526438),Vereinssport outdoor,"19., Kuchelauer Spitz",1740,Bootsport (Motorboot),http://www.myca.at/,
SPORTSTAETTENOGD.390,390,POINT (16.343245904553754 48.24341880036422),Vereinssport outdoor,"19., Leidesdorfgasse 6",4130,Tennisanlage (5 Pl‰tze),http://www.tennis-wien.at/,
SPORTSTAETTENOGD.391,391,POINT (16.358229088737964 48.239333855782604),Vereinssport outdoor,"19., Osterleitengasse 14",1940,"polysportiver Hartplatz,<br />Bocciaanlage",http://www.wien.gv.at/freizeit/sportamt/sportstaetten/anlagen/jugendsport/osterleitengasse.html,
SPORTSTAETTENOGD.392,392,POINT (16.33795445590001 48.24500650326837),÷ffentlich outdoor,"19., Scherpegasse, Arbesbachgasse",749,polysportiver Hartplatz,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPORTSTAETTENOGD.393,393,POINT (16.313418912924345 48.24330423244126),Vereinssport outdoor,"19., Starkfriedgasse 20",10540,Tennisanlage (9 Pl‰tze),http://www.ctp-tennisclub.at,
SPORTSTAETTENOGD.394,394,POINT (16.337013418398197 48.24303342430063),÷ffentlich outdoor,"19., Weinberggasse 28 gg¸",330,polysportiver Hartplatz,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPORTSTAETTENOGD.395,395,POINT (16.353100447453166 48.25850759812717),÷ffentlich outdoor,"19., Zahnradbahnstraﬂe, Kahlenberg Straﬂe",540,polysportiver Hartplatz,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPORTSTAETTENOGD.396,396,POINT (16.375773212762677 48.24266441379616),Vereinssport outdoor,"20., Adalbert-Stifter-Straﬂe, Meldemannstraﬂe 1",660,Kyudo,http://www.kyudo.at,
SPORTSTAETTENOGD.397,397,POINT (16.384750334143323 48.23868348220097),÷ffentlich outdoor,"20., Allerheiligenplatz",2250,"polysportiver Hartplatz,<br />polysportiver Rasenplatz",http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPORTSTAETTENOGD.398,398,POINT (16.36962169124023 48.26041237216524),Vereinssport outdoor,"20., Am Brigittenauer Sporn",3150,"Bootsport (Rudern, Kanu)",http://www.ruderverein-donauhort.at/,
SPORTSTAETTENOGD.399,399,POINT (16.364344528840107 48.23491208807436),÷ffentlich outdoor,"20., Anton-Kummerer-Park",600,polysportiver Hartplatz,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPORTSTAETTENOGD.400,400,POINT (16.374630347563848 48.23179993090126),Sporthalle,"20., Dammstraﬂe 7-9",100,Sporthalle (polysportiv),http://www.uab.at/,
SPORTSTAETTENOGD.401,401,POINT (16.374876167463796 48.24429391413183),÷ffentlich outdoor,"20., Forsthauspark",200,Skateranlage,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPORTSTAETTENOGD.402,402,POINT (16.38184045786358 48.24503400350168),÷ffentlich outdoor,"20., Friedrich-Engels-Platz",308,polysportiver Hartplatz,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPORTSTAETTENOGD.403,403,POINT (16.369442350739195 48.22637572086147),÷ffentlich outdoor,"20., Gauﬂplatz",160,polysportiver Hartplatz,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPORTSTAETTENOGD.404,404,POINT (16.37472412064442 48.2544198503492),Vereinssport outdoor,"20., Handelskai 3a",2550,"Bootsport (Rudern, Kanu)",http://platform2.factlink.net/p/2533,
SPORTSTAETTENOGD.405,405,POINT (16.371468650653455 48.24669923454607),Vereinssport outdoor,"20., Hopsagasse 5",30000,"Rasenplatz,<br />Kunstrasenplatz (Fuﬂball),<br />Tennisanlage (4 Pl‰tze),<br />Beachvolleyballanlage (1 Court),<br />Soccercourt,<br />Inlineskaterplatz",http://www.askoe20.at,
SPORTSTAETTENOGD.406,406,POINT (16.372544222641302 48.2467420651721),Sporthalle,"20., Hopsagasse 7",6770,Sporthalle (polysportiv),http://www.wien.gv.at/freizeit/sportamt/sportstaetten/hallen/brigittenau.html,
SPORTSTAETTENOGD.407,407,POINT (16.368612371219157 48.23520960717215),÷ffentlich outdoor,"20., Hugo-Gottschlich-Park",1075,polysportiver Rasenplatz,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPORTSTAETTENOGD.408,408,POINT (16.37332983517714 48.23427311317889),÷ffentlich outdoor,"20., Jakob-Winter-Park",150,polysportiver Hartplatz,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPORTSTAETTENOGD.409,409,POINT (16.377015793762467 48.246765020320936),÷ffentlich outdoor,"20., Kapaunplatz",1715,polysportiver Hartplatz,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPORTSTAETTENOGD.410,410,POINT (16.367588984511872 48.23572416481917),÷ffentlich outdoor,"20., Leipziger Platz",690,polysportiver Hartplatz,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPORTSTAETTENOGD.411,411,POINT (16.376297695877735 48.24156940850508),Vereinssport outdoor,"20., Meldemannstraﬂe 13",11400,Kunstrasenplatz (Fuﬂball),http://www.waf-brigittenau.at/,
SPORTSTAETTENOGD.412,412,POINT (16.386506011373243 48.234490666317306),÷ffentlich outdoor,"20., Mortaraplatz",787,polysportiver Hartplatz,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPORTSTAETTENOGD.413,413,POINT (16.378399552917923 48.23993208450452),÷ffentlich outdoor,"20., Pasettistraﬂe, Meldemannstraﬂe",303,polysportiver Hartplatz,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPORTSTAETTENOGD.414,414,POINT (16.376374207333775 48.23202811802834),÷ffentlich outdoor,"20., Sachsenplatz",525,polysportiver Hartplatz,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPORTSTAETTENOGD.415,415,POINT (16.370385580934624 48.2426937577022),Vereinssport outdoor,"20., Spielmanngasse 8",36770,"Rasenplatz,<br />Kunstrasenplatz (Fuﬂball),<br />Tennisanlage (4 Pl‰tze),<br />Laufbahn",http://www.firstviennafc.at,
SPORTSTAETTENOGD.416,416,POINT (16.377476389409303 48.249402445869215),÷ffentlich outdoor,"20., Wehlistraﬂe 14-16 gg¸",728,polysportiver Hartplatz,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPORTSTAETTENOGD.417,417,POINT (16.394956229905855 48.24832149441543),Vereinssport outdoor,"21., Am Hubertusdamm Wasserpark 3",17963,"Rasenplatz,<br />Tennisanlage (6 Pl‰tze),<br />Minigolfanlage",http://members.aon.at/wat21/neuwat21/wat21leiste.html,
SPORTSTAETTENOGD.418,418,POINT (16.40778776471409 48.24953672623091),Vereinssport outdoor,"21., An der Oberen Alten Donau 92",350,Bootssport (Segeln),http://www.wyc.at/,
SPORTSTAETTENOGD.419,419,POINT (16.412530727431477 48.248028358818615),Vereinssport outdoor,"21., An der Oberen Alten Donau 96a",350,Bootssport (Segeln),http://www.ycs.at/,
