FID,OBJECTID,SHAPE,BEZEICHNUNG,BETREIBER,ADRESSE,WEBLINK1,TYP_TXT,TXTATT1,KONTAKT,SE_ANNO_CAD_DATA
KINDERGARTENOGD.877930,877930,POINT (16.339233720248405 48.221903734532575),Kindergarten,Verein ´Z.I.M. gem. GmbH. Zentren für Integrative Montessori - Pädagogik´,"18., Eduardgasse 3",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,"Integrationskrippe 0-3 Jahre,<br>Integrationskindergarten 3-6 Jahre,<br>Hortgruppe 6-10 Jahre",Privat,,
KINDERGARTENOGD.877931,877931,POINT (16.313486369330136 48.21849522579235),Betriebskindergarten - Haus der Barmherzigkeit,Kinder in Wien,"16., Seeböckgasse 30a",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,Familiengruppe 0-6 Jahre,Privat,,
KINDERGARTENOGD.877932,877932,POINT (16.402459144912974 48.259599254338184),Kindergarten,Verein Edu & Fun Schul- und Bildungszentrum,"21., Weisselgasse 28",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,"Kleinkindergruppe 0-3 Jahre,<br>Kindergarten 3-6 Jahre,<br>Familiengruppe 0-6 Jahre,<br>Familiengruppe 3-10 Jahre,<br>Hortgruppe 6-10 Jahre",Privat,607 70 59,
KINDERGARTENOGD.877933,877933,POINT (16.330835803865746 48.1730082043483),Kindergarten,Kinder in Wien,"12., Schedifkaplatz 3",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,Familiengruppe 0-6 Jahre,Privat,,
KINDERGARTENOGD.877934,877934,POINT (16.333156958468138 48.211533635182384),Privatkindergarten Sonneninsel,Verein Kindergarten Sonneninsel,"16., Neulerchenfelder Straße 48",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,"Kleinkindergruppe 0-3 Jahre,<br>Kindergarten 3-6 Jahre",Privat,,
KINDERGARTENOGD.877935,877935,POINT (16.314478800162394 48.19517502305101),Kindergarten ´BARAKA´,TAHAMA Verein für Integrative Bildung,"15., Goldschlagstraße 122",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,Kindergarten 3-6 Jahre,Privat,,
KINDERGARTENOGD.877936,877936,POINT (16.342572540917242 48.168113659005904),Kindergarten,Kinder in Wien,"10., Hertha-Firnberg-Straße 12",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,"Halbtagskindergarten 3-6 Jahre,<br>Hortgruppe 6-10 Jahre",Privat,,
KINDERGARTENOGD.877937,877937,POINT (16.31766136643361 48.2167794444735),Kindergarten,Verein Tante Anni,"16., Wurlitzergasse 49",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,"Kleinkindergruppe 0-3 Jahre,<br>Kindergarten 3-6 Jahre,<br>Halbtagskindergarten 3-6 Jahre,<br>Hortgruppe 6-10 Jahre",Privat,,
KINDERGARTENOGD.877938,877938,POINT (16.422846849198958 48.23576704558484),Kids United International Kindergarten,Kids United Kindergarten - Verein,"22., Wagramer Straße 23/3",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,"Kleinkindergruppe 0-3 Jahre,<br>Kindergarten 3-6 Jahre,<br>Familiengruppe 0-6 Jahre",Privat,26 33 276,
KINDERGARTENOGD.877939,877939,POINT (16.384067879182393 48.164788007378526),Kindergarten,Wiener Kinderfreunde,"10., Maria-Rekker-Gasse 3-5/Haus 2",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,Hortgruppe 6-10 Jahre,Privat,+43 1 607 96 59,
KINDERGARTENOGD.877940,877940,POINT (16.357901569116336 48.20175915677233),Kindergarten LULU,Verein Akademie Bildende Künste,"7., Karl-Schweighofer-Gasse 3",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,Familiengruppe 0-6 Jahre,Privat,,
KINDERGARTENOGD.877941,877941,POINT (16.386964118487416 48.20614663758679),Kindergarten,Kindercompany,"3., Untere Viaduktgasse 55",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,"Kleinkindergruppe 0-3 Jahre,<br>Familiengruppe 0-6 Jahre",Privat,,
KINDERGARTENOGD.877942,877942,POINT (16.338634749892908 48.17727657015217),Kindergarten,Verein ´Freizeitclub Merlin´,"12., Längenfeldgasse 68/22",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,"Halbtagskindergarten 3-6 Jahre,<br>Familiengruppe 0-6 Jahre,<br>Hortgruppe 6-10 Jahre",Privat,,
KINDERGARTENOGD.877943,877943,POINT (16.284287626055743 48.18992145698299),´Kindergarten und Hort´,Verein Vindobini,"13., Auhofstraße 78 D",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,"Kindergarten 3-6 Jahre,<br>Familiengruppe 0-6 Jahre,<br>Hortgruppe 6-10 Jahre",Privat,,
KINDERGARTENOGD.877944,877944,POINT (16.38118622837085 48.20996683477814),Betriebskindergarten - BAWAG P.S.K AG,Wiener Kinderfreunde,"1., Georg-Coch-Platz 2",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,"Kleinkindergruppe 0-3 Jahre,<br>Kindergarten 3-6 Jahre,<br>Familiengruppe 0-6 Jahre",Privat,,
KINDERGARTENOGD.878020,878020,POINT (16.314130736455237 48.196641118036425),Kindergarten,Verein Sonnenstrahl Kindertagesgruppe,"15., Märzstraße 122",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,"Kleinkindergruppe 0-3 Jahre,<br>Kindergarten 3-6 Jahre,<br>Familiengruppe 0-6 Jahre",Privat,,
KINDERGARTENOGD.878021,878021,POINT (16.368808121016123 48.22969491375396),Kindergarten,Verein Kindergarten für Österreichisch-Ägyptische Kinder,"20., Webergasse 28-30",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,"Kleinkindergruppe 0-3 Jahre,<br>Kindergarten 3-6 Jahre,<br>Hortgruppe 6-10 Jahre",Privat,,
KINDERGARTENOGD.878022,878022,POINT (16.41150742193558 48.19287295821331),Betriebskindergarten - Gewerkschaft der Gemeindebediensteten,Wiener Kinderfreunde,"3., Erdbergstraße 139/1",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,"Kleinkindergruppe 0-3 Jahre,<br>Kindergarten 3-6 Jahre,<br>Familiengruppe 0-6 Jahre",Privat,+43 1 798 74 27,
KINDERGARTENOGD.878023,878023,POINT (16.312174743359737 48.21147498499784),Kindergarten,Wiener Kinderfreunde,"16., Paltaufgasse 16",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,Familiengruppe 0-6 Jahre,Privat,+43 1 493 17 58,
KINDERGARTENOGD.878024,878024,POINT (16.369009278094122 48.180095477345425),"Kindergarten ""HILAL""","Verein ""HILAL"" - Humanitäre Internationale Liga für Aktives Lernen","10., Dampfgasse 24",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,"Kleinkindergruppe 0-3 Jahre,<br>Familiengruppe 0-6 Jahre",Privat,,
KINDERGARTENOGD.878025,878025,POINT (16.477452944253105 48.200848610586505),Kindergarten,Verein MoKiLo,"22., Fliegerweg 30",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,Familiengruppe 0-6 Jahre,Privat,0676/512 78 16,
KINDERGARTENOGD.878026,878026,POINT (16.315690481812652 48.164566634154475),Kindergarten,Verein Sportkindergarten Monpti,"12., Breitenfurter Straße 111-113",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,"Kleinkindergruppe 0-3 Jahre,<br>Kindergarten 3-6 Jahre,<br>Familiengruppe 0-6 Jahre",Privat,,
KINDERGARTENOGD.878027,878027,POINT (16.303755861046483 48.2507500235242),Kindergarten,Kinder in Wien,"19., Rathstraße 35/Top 1",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,Familiengruppe 0-6 Jahre,Privat,,
KINDERGARTENOGD.878028,878028,POINT (16.376700677646735 48.199792812275746),Betriebskindergarten - Raiffeisen Zentralbank,Kinder in Wien,"3., Am Heumarkt 10",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,Familiengruppe 0-6 Jahre,Privat,,
KINDERGARTENOGD.878029,878029,POINT (16.27629294959026 48.19174931514475),Kindergarten,Wiener Kinderfreunde,"13., Hietzinger Kai 143",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,Familiengruppe 0-6 Jahre,Privat,+43 1 877 84 15,
KINDERGARTENOGD.878030,878030,POINT (16.328018504821095 48.21344902621321),Kindergarten Sonneninsel,Verein Kindergarten Sonneninsel,"16., Ottakringerstraße 73",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,"Kleinkindergruppe 0-3 Jahre,<br>Kindergarten 3-6 Jahre",Privat,405 39 57,
KINDERGARTENOGD.878031,878031,POINT (16.357632727775584 48.17375372467023),Kindergarten,Wiener Kinderfreunde,"10., Inzersdorfer Straße 113",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,"Kleinkindergruppe 0-3 Jahre,<br>Kindergarten 3-6 Jahre,<br>Familiengruppe 0-6 Jahre",Privat,+43 1 600 13 16,
KINDERGARTENOGD.878032,878032,POINT (16.350271419641135 48.244313349215105),Kindergarten,Verein Privatkindergarten M&M,"19., Nußwaldgasse 5",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,"Kindergarten 3-6 Jahre,<br>Familiengruppe 0-6 Jahre",Privat,,
KINDERGARTENOGD.878033,878033,POINT (16.38788305639345 48.223919062323354),Glücki-Glückliche Kinder,Verein Kindergarten Glücki,"2., Rueppgasse 34",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,"Kleinkindergruppe 0-3 Jahre,<br>Familiengruppe 0-6 Jahre",Privat,,
KINDERGARTENOGD.878034,878034,POINT (16.320710014996283 48.18912548687593),Pfarrkindergarten Schönbrunn-Vorpark,St. Nikolausstiftung Erzdiözese Wien,"15., Winckelmannstraße 32",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,Familiengruppe 0-6 Jahre,Privat,,
KINDERGARTENOGD.878035,878035,POINT (16.306559547122013 48.21767177262472),Lernen fürs Leben - Wilhelminenstraße,Verein Lernen fürs Leben - Integrativer Sozialverein,"16., Wilhelminenstraße 91-93",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,"Kleinkindergruppe 0-3 Jahre,<br>Kindergarten 3-6 Jahre",Privat,,
KINDERGARTENOGD.877945,877945,POINT (16.37023698064648 48.17037127999889),Kindergarten,"Verein DALIA ´BBIK´ Bildung, Information und Kultur","10., Hardtmuthgasse 54",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,"Kindergarten 3-6 Jahre,<br>Familiengruppe 0-6 Jahre",Privat,,
KINDERGARTENOGD.877946,877946,POINT (16.500601093873456 48.25236079931824),Kindergarten,Wiener Kindergärten,"22., Schukowitzgasse 87",http://www.wien.gv.at/bildung/kindergarten/staedtisches-angebot/index.html,"Kleinkindergruppe 0-3 Jahre,<br>Kindergarten 3-6 Jahre,<br>Familiengruppe 3-10 Jahre,<br>Hortgruppe 6-10 Jahre,<br>Integrationshort 6-10 Jahre",Öffentlich,,
KINDERGARTENOGD.877947,877947,POINT (16.41252514317012 48.23294944981647),Donau-City-2,Kinder in Wien,"22., Donau-City-Straße 9",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,Familiengruppe 0-6 Jahre,Privat,,
KINDERGARTENOGD.877948,877948,POINT (16.314813162077876 48.19784876234892),Kindertagesheim WA-ISLAMAH,"Verein WA-ISLAMAH (Zentrum für Soziales, Kinder- und Jugendbetreuung)","15., Meiselstraße 43",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,Familiengruppe 3-10 Jahre,Privat,,
KINDERGARTENOGD.877949,877949,POINT (16.387924334239916 48.227475924391165),Kindergarten,Verein Kindergartenparadies,"2., Taborstraße 108",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,"Kleinkindergruppe 0-3 Jahre,<br>Kindergarten 3-6 Jahre,<br>Familiengruppe 0-6 Jahre",Privat,,
KINDERGARTENOGD.877950,877950,POINT (16.430341830231402 48.24717692757081),Betriebskindergarten - Haus der Barmherzigkeit,Kinder in Wien,"22., Tokiostraße 4",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,Familiengruppe 0-6 Jahre,Privat,,
KINDERGARTENOGD.877951,877951,POINT (16.288975032912276 48.16999458225315),Kindergarten,Wiener Kinderfreunde,"13., Bergheidengasse 4",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,"Kleinkindergruppe 0-3 Jahre,<br>Kindergarten 3-6 Jahre,<br>Familiengruppe 0-6 Jahre",Privat,+43 1 877 52 64,
KINDERGARTENOGD.877952,877952,POINT (16.31926625644889 48.15360074773488),Kindergarten,Verein für Völkerverständigung AL-ANDALUS,"23., Altmannsdorfer Straße 154-156",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,"Kindergarten 3-6 Jahre,<br>Familiengruppe 0-6 Jahre,<br>Familiengruppe 3-10 Jahre,<br>Hortgruppe 6-10 Jahre",Privat,,
KINDERGARTENOGD.877953,877953,POINT (16.3790842207423 48.24068149734497),Kindergarten,Wiener Kinderfreunde,"20., Stromstraße (Hochstädtplatz) 33-35",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,"Kleinkindergruppe 0-3 Jahre,<br>Kindergarten 3-6 Jahre",Privat,+43 1 332 19 01,
KINDERGARTENOGD.877954,877954,POINT (16.334032774802036 48.19062440127203),Schulzentrum Friesgasse,Vereinigung katholischer Kindertagesheime,"15., Friesgasse 4",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,Hortgruppe 6-10 Jahre,Privat,,
KINDERGARTENOGD.877955,877955,POINT (16.388562959795788 48.27072270589608),Kindergarten,Wiener Kindergärten,"21., Michtnergasse 14",http://www.wien.gv.at/bildung/kindergarten/staedtisches-angebot/index.html,"Kleinkindergruppe 0-3 Jahre,<br>Kindergarten 3-6 Jahre,<br>Integrationskindergarten 3-6 Jahre",Öffentlich,+43 676 811 861 762,
KINDERGARTENOGD.877956,877956,POINT (16.351407261379403 48.22327834597032),Hort im Schulkollektiv,Schulkollektiv Wien,"9., Währinger Straße 59/5",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,Hortgruppe 6-10 Jahre,Privat,+43 1 40 946 46,
KINDERGARTENOGD.877957,877957,POINT (16.34434645605621 48.1922573754629),Österr. Provinz d. Kongregation d. Barmherzigen Schwestern vom hl. Vinzenz von Paul Wien-Gumpendorf,Vereinigung katholischer Kindertagesheime,"6., Liniengasse 21",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,Hortgruppe 6-10 Jahre,Privat,,
KINDERGARTENOGD.877958,877958,POINT (16.377368883468996 48.19247705867914),Kindergarten,Kindercompany,"4., Theresianiumgasse 7",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,"Kleinkindergruppe 0-3 Jahre,<br>Kindergarten 3-6 Jahre,<br>Familiengruppe 0-6 Jahre",Privat,,
KINDERGARTENOGD.877959,877959,POINT (16.364016983769947 48.23306393025398),Kindergarten,Wiener Kindergärten,"20., Pappenheimgasse 2",http://www.wien.gv.at/bildung/kindergarten/staedtisches-angebot/index.html,"Kleinkindergruppe 0-3 Jahre,<br>Kindergarten 3-6 Jahre",Öffentlich,+43 676 811 864 869,
KINDERGARTENOGD.877960,877960,POINT (16.29292933667662 48.24334558808781),Kindergarten,Wiener Kindergärten,"18., Pötzleinsdorfer Straße 230",http://www.wien.gv.at/bildung/kindergarten/staedtisches-angebot/index.html,"Kleinkindergruppe 0-3 Jahre,<br>Kindergarten 3-6 Jahre",Öffentlich,+43 676 811 861 362,
KINDERGARTENOGD.877961,877961,POINT (16.3975271312613 48.17488882746119),ZAMZAM,DONYA - Verein zur Förderung der Sprache und Integration von Kind und Mutter,"11., Werkstättenweg 1",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,"Kindergarten 3-6 Jahre,<br>Familiengruppe 0-6 Jahre",Privat,,
KINDERGARTENOGD.877962,877962,POINT (16.25735268425422 48.202212914136645),Kindergarten Heidi,Pädagogischer Verein zur Förderung von Klein- und Vorschulkindern,"14., Hüttelbergstraße 2",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,"Kleinkindergruppe 0-3 Jahre,<br>Familiengruppe 0-6 Jahre,<br>Hortgruppe 6-10 Jahre",Privat,,
KINDERGARTENOGD.877963,877963,POINT (16.36958830560142 48.17679515646016),JUWA,Verein JUWA - Bildungs- und Beratungszentrum,"10., Pernerstorfergasse 57",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,Kindergarten 3-6 Jahre,Privat,01/60 70 310,
KINDERGARTENOGD.877964,877964,POINT (16.383155548165554 48.2383525699116),MEKA,DONYA - Verein zur Förderung der Sprache und Integration von Kind und Mutter,"20., Leystraße 69",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,"Kleinkindergruppe 0-3 Jahre,<br>Kindergarten 3-6 Jahre",Privat,,
KINDERGARTENOGD.877965,877965,POINT (16.39474198404077 48.208798435881725),Montessori Kinderhaus,Verein Montessori Kinderhaus,"3., Hetzgasse 45",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,Kleinkindergruppe 0-3 Jahre,Privat,,
KINDERGARTENOGD.877966,877966,POINT (16.40507580560958 48.19563368513464),Kindergarten,Wiener Kindergärten,"3., Gestettengasse 12-14",http://www.wien.gv.at/bildung/kindergarten/staedtisches-angebot/index.html,"Kleinkindergruppe 0-3 Jahre,<br>Kindergarten 3-6 Jahre,<br>Integrationskindergarten 3-6 Jahre",Öffentlich,+43 676 811 862 800,
KINDERGARTENOGD.877967,877967,POINT (16.367951292813785 48.19855819972776),Betriebskindergarten - TU Wien,Kinder in Wien,"4., Wiedner Hauptstraße 7-9",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,Familiengruppe 0-6 Jahre,Privat,,
KINDERGARTENOGD.877968,877968,POINT (16.304258859253217 48.14781868228405),Kindergarten Heidi,Pädagogischer Verein zur Förderung von Klein- und Vorschulkindern,"23., Erlaaer Straße 49-51",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,"Kleinkindergruppe 0-3 Jahre,<br>Kindergarten 3-6 Jahre,<br>Familiengruppe 0-6 Jahre",Privat,,
KINDERGARTENOGD.877969,877969,POINT (16.363884907116656 48.16621469925304),Kindergarten,Wiener Kinderfreunde,"10., Neilreichgasse 105",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,"Kindergarten 3-6 Jahre,<br>Halbtagskindergarten 3-6 Jahre,<br>Hortgruppe 6-10 Jahre",Privat,+43 1 603 08 66,
KINDERGARTENOGD.877970,877970,POINT (16.451249447674993 48.1558881635471),Kindergarten,Wiener Kindergärten,"11., Thürnlhofstraße 19",http://www.wien.gv.at/bildung/kindergarten/staedtisches-angebot/index.html,"Kleinkindergruppe 0-3 Jahre,<br>Kindergarten 3-6 Jahre,<br>Halbtagskindergarten 3-6 Jahre,<br>Familiengruppe 3-10 Jahre,<br>Hortgruppe 6-10 Jahre",Öffentlich,+43 676 811 864 473,
KINDERGARTENOGD.877971,877971,POINT (16.412135062299615 48.177274983980695),Kindergarten Bayram,Mulitkultureller Verein Bayram,"11., Hauffgasse 3-5",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,"Kindergarten 3-6 Jahre,<br>Familiengruppe 0-6 Jahre",Privat,,
KINDERGARTENOGD.877972,877972,POINT (16.369249180970193 48.2115495629393),Privater Kindergarten Judenplatz,St. Nikolausstiftung Erzdiözese Wien,"1., Judenplatz 6",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,"Kleinkindergruppe 0-3 Jahre,<br>Kindergarten 3-6 Jahre",Privat,,
KINDERGARTENOGD.877973,877973,POINT (16.35269365420838 48.18895272651011),Sportkindergarten Monpti,Verein Sportkindergarten Monpti,"5., Bräuhausgasse 37",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,"Kleinkindergruppe 0-3 Jahre,<br>Kindergarten 3-6 Jahre",Privat,,
KINDERGARTENOGD.877974,877974,POINT (16.382779659631176 48.16614696781436),Kindergarten LINA,VIV - Verein für interkulturelles Verständnis,"10., Patrubangasse 9",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,"Kindergarten 3-6 Jahre,<br>Familiengruppe 0-6 Jahre",Privat,967 40 09,
KINDERGARTENOGD.877975,877975,POINT (16.31677383570442 48.2130140400695),Kindergarten,Verein Kindergarten Minibambini,"16., Wurlitzergasse 13",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,"Familiengruppe 0-6 Jahre,<br>Familiengruppe 3-10 Jahre",Privat,481 05 89,
KINDERGARTENOGD.877976,877976,POINT (16.335070631732282 48.22909361788867),Cottage Kindergarten,Verein Cottage Kindergarten,"18., Türkenschanzstraße 1",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,"Kleinkindergruppe 0-3 Jahre,<br>Kindergarten 3-6 Jahre",Privat,+43 1/478 80 27,
KINDERGARTENOGD.877977,877977,POINT (16.428512714021736 48.206106431266505),Kindergarten der Zwi Perez Chajes Schule der Israelitischen Kultusgemeinde Wien,Verein zur Erhaltung der Zwi Perez Chajes Schule der Israelitischen Kultusgemeinde Wien,"2., Simon-Wiesenthal-Gasse 3/Haus I",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,"Kleinkindergruppe 0-3 Jahre,<br>Kindergarten 3-6 Jahre",Privat,,
KINDERGARTENOGD.877978,877978,POINT (16.428512714021736 48.206106431266505),Hort der Zwi Perez Chajes Schule,Verein zur Erhaltung der Zwi Perez Chajes Schule der Israelitischen Kultusgemeinde Wien,"2., Simon-Wiesenthal-Gasse 3/Haus II",http://www.wien.gv.at/bildung/kindergarten/private-angebote/index.html,Hortgruppe 6-10 Jahre,Privat,,
