FID,SHAPE,NAME,ADRESSE,OEFFNUNGSZEITEN1,OEFFNUNGSZEITEN2,OEFFNUNGSZEITEN3,OEFFNUNGSZEITEN4,OEFFNUNGSZEITEN5,OEFFNUNGSZEITEN6,TELEFON,EMAIL,WEBLINK1,BEZIRK,SE_SDO_ROWID,SE_ANNO_CAD_DATA
MUSIKSINGSCHULEOGD.159197,POINT (16.340170564279955 48.17810799041444),Singschule,"12., Karl-Lˆwe-Gasse 20",,,,,,,01 4000-84425,post-singschule@ma13.wien.gv.at,http://www.wien.gv.at/bildung/schulen/musikschule/,12,159197,
MUSIKSINGSCHULEOGD.159198,POINT (16.305168009324387 48.16517362854945),Singschule,"12., Rohrwassergasse 2",,,,,,,01 4000-84425,post-singschule@ma13.wien.gv.at,http://www.wien.gv.at/bildung/schulen/musikschule/,12,159198,
MUSIKSINGSCHULEOGD.159199,POINT (16.320618977313806 48.16239767451391),Singschule,"12., Rothenburgstraﬂe 1",,,,,,,01 4000-84425,post-singschule@ma13.wien.gv.at,http://www.wien.gv.at/bildung/schulen/musikschule/,12,159199,
MUSIKSINGSCHULEOGD.159200,POINT (16.30157193029015 48.18557023133461),Singschule,"13., Am Platz 2",,,,,,,01 4000-84425,post-singschule@ma13.wien.gv.at,http://www.wien.gv.at/bildung/schulen/musikschule/,13,159200,
MUSIKSINGSCHULEOGD.159201,POINT (16.268134535934813 48.18807252389495),Singschule,"13., Hietzinger Hauptstraﬂe 166",,,,,,,01 4000-84425,post-singschule@ma13.wien.gv.at,http://www.wien.gv.at/bildung/schulen/musikschule/,13,159201,
MUSIKSINGSCHULEOGD.159202,POINT (16.345704695624395 48.20552438551648),Musikschule Alsergrund,"9., Neustiftgasse 95-99",,,,,,,01 4000-09165,post-ms09@ma13.wien.gv.at,http://www.wien.gv.at/bildung/schulen/musikschule/,9,159202,
MUSIKSINGSCHULEOGD.159203,POINT (16.34160941597059 48.20603439082301),Musikschule Alsergrund,"9., Neustiftgasse 98-102",,,,,,,01 4000-09165,post-ms09@ma13.wien.gv.at,http://www.wien.gv.at/bildung/schulen/musikschule/,9,159203,
MUSIKSINGSCHULEOGD.159204,POINT (16.38989680717582 48.16670649595449),Musikschule Favoriten,"10., Rudolf-Friemel-Gasse 3",,,,,,,01 4000-10162,post-ms10a@ma13.wien.gv.at,http://www.wien.gv.at/bildung/schulen/musikschule/,10,159204,
MUSIKSINGSCHULEOGD.159205,POINT (16.380651573191447 48.15009893708225),Musikschule Hansson-Zentrum,"10., Stockholmer Platz 18",,,,,,,01 4000-10180,post-ms10b@ma13.wien.gv.at,http://www.wien.gv.at/bildung/schulen/musikschule/,10,159205,
MUSIKSINGSCHULEOGD.159206,POINT (16.315765624699754 48.224750551577166),Singschule,"17., Halirschgasse 25",,,,,,,01 4000-84425,post-singschule@ma13.wien.gv.at,http://www.wien.gv.at/bildung/schulen/musikschule/,17,159206,
MUSIKSINGSCHULEOGD.159207,POINT (16.412484959691547 48.174059572755546),Singschule,"11., Gottschalkgasse 10",,,,,,,01 4000-84425,post-singschule@ma13.wien.gv.at,http://www.wien.gv.at/bildung/schulen/musikschule/,11,159207,
MUSIKSINGSCHULEOGD.159208,POINT (16.312258863083265 48.14253603554403),Musikschule Alterlaa,"23., Erlaaer Straﬂe 74",,,,,,,01 4000-23183,post-ms23a@ma13.wien.gv.at,http://www.wien.gv.at/bildung/schulen/musikschule/,23,159208,
MUSIKSINGSCHULEOGD.159209,POINT (16.47860863932307 48.218522823707886),Musikschule Donaustadt,"22., Eibengasse 58",,,,,,,01 4000-22160,post-ms22@ma13.wien.gv.at,http://www.wien.gv.at/bildung/schulen/musikschule/,22,159209,
MUSIKSINGSCHULEOGD.159177,POINT (16.378790405452573 48.20713861660736),Singschule,"1., Stubenbastei 3",,,,,,,01 4000-84425,post-singschule@ma13.wien.gv.at,http://www.wien.gv.at/bildung/schulen/musikschule/,1,159177,
MUSIKSINGSCHULEOGD.159178,POINT (16.385424783718037 48.218669710947985),Singschule,"2., Novaragasse 30",,,,,,,01 4000-84425,post-singschule@ma13.wien.gv.at,http://www.wien.gv.at/bildung/schulen/musikschule/,2,159178,
MUSIKSINGSCHULEOGD.159179,POINT (16.384759881018738 48.22408982647749),Singschule,"2., Vereinsgasse 29",,,,,,,01 4000-84425,post-singschule@ma13.wien.gv.at,http://www.wien.gv.at/bildung/schulen/musikschule/,2,159179,
MUSIKSINGSCHULEOGD.159180,POINT (16.40292446903883 48.223520675537735),Singschule,"2., Vorgartenstraﬂe 191",,,,,,,01 4000-84425,post-singschule@ma13.wien.gv.at,http://www.wien.gv.at/bildung/schulen/musikschule/,2,159180,
MUSIKSINGSCHULEOGD.159181,POINT (16.36880287078919 48.19134742643072),Singschule,"4., Graf-Starhemberg-Gasse 8",,,,,,,01 4000-84425,post-singschule@ma13.wien.gv.at,http://www.wien.gv.at/bildung/schulen/musikschule/,4,159181,
MUSIKSINGSCHULEOGD.159182,POINT (16.38926870397517 48.19982201305125),Singschule,"3., Sebastianplatz 3",,,,,,,01 4000-84425,post-singschule@ma13.wien.gv.at,http://www.wien.gv.at/bildung/schulen/musikschule/,3,159182,
MUSIKSINGSCHULEOGD.159183,POINT (16.399753134731455 48.193825789153436),Singschule,"3., Petrusgasse 10",,,,,,,01 4000-84425,post-singschule@ma13.wien.gv.at,http://www.wien.gv.at/bildung/schulen/musikschule/,3,159183,
MUSIKSINGSCHULEOGD.159184,POINT (16.38399299241069 48.1980669646124),Singschule,"3., Reisnerstraﬂe 43",,,,,,,01 4000-84425,post-singschule@ma13.wien.gv.at,http://www.wien.gv.at/bildung/schulen/musikschule/,3,159184,
MUSIKSINGSCHULEOGD.159185,POINT (16.364153434474826 48.18963629409684),Singschule,"4., Phorusgasse 4",,,,,,,01 4000-84425,post-singschule@ma13.wien.gv.at,http://www.wien.gv.at/bildung/schulen/musikschule/,4,159185,
MUSIKSINGSCHULEOGD.159186,POINT (16.365467873175252 48.19454169962959),Singschule,"4., Sch‰ffergasse 3",,,,,,,01 4000-84425,post-singschule@ma13.wien.gv.at,http://www.wien.gv.at/bildung/schulen/musikschule/,4,159186,
MUSIKSINGSCHULEOGD.159210,POINT (16.411750808413007 48.174223453866254),Musikschule Simmering,"11., Gottschalkgasse 10",Montag bis Freitag ab 14:00 Uhr,,,,,,01 4000-11169,post-ms11@ma13.wien.gv.at,http://www.wien.gv.at/bildung/schulen/musikschule/,11,159210,
MUSIKSINGSCHULEOGD.159211,POINT (16.410708847206816 48.172672261334824),Singschule,"11., Herderplatz 1",,,,,,,01 4000-84425,post-singschule@ma13.wien.gv.at,http://www.wien.gv.at/bildung/schulen/musikschule/,11,159211,
MUSIKSINGSCHULEOGD.159212,POINT (16.33993251878183 48.1785957668796),Singschule,"12., Deckergasse 1",,,,,,,01 4000-84425,post-singschule@ma13.wien.gv.at,http://www.wien.gv.at/bildung/schulen/musikschule/,12,159212,
MUSIKSINGSCHULEOGD.159213,POINT (16.444192306485025 48.242734329590874),Musikschule Donaustadt,"22., Natorpgasse 1",,,,,,,01 4000-22160,post-ms22@ma13.wien.gv.at,http://www.wien.gv.at/bildung/schulen/musikschule/,22,159213,
MUSIKSINGSCHULEOGD.159214,POINT (16.3798423636143 48.215494826631115),Musikschule Leopoldstadt,"2., Karmeliterplatz 1",Montag bis Freitag ab 14:00 Uhr,,,,,,01 4000 02169,post-ms02@ma13.wien.gv.at,http://www.wien.gv.at/bildung/schulen/musikschule/,2,159214,
MUSIKSINGSCHULEOGD.159215,POINT (16.384225660386992 48.19818641926364),Musikschule Landstraﬂe,"3., Kleistgasse 12",Montag bis Freitag ab 14:00 Uhr,,,,,,01 4000 03174,post-ms03@ma13.wien.gv.at,http://www.wien.gv.at/bildung/schulen/musikschule/,3,159215,
MUSIKSINGSCHULEOGD.159216,POINT (16.3507350694293 48.18862698957385),Musikschule Margareten,"5., Br‰uhausgasse 50",Montag bis Freitag ab 14:00 Uhr,,,,,,01 4000 05165,post-ms05@ma13.wien.gv.at,http://www.wien.gv.at/bildung/schulen/musikschule/,5,159216,
MUSIKSINGSCHULEOGD.159217,POINT (16.364695356614313 48.22283369986794),Musikschule Alsergrund,"9., D¥Orsay-Gasse 8",Montag bis Freitag ab 14:00 Uhr,,,,,,01 4000-09165,post-ms09@ma13.wien.gv.at,http://www.wien.gv.at/bildung/schulen/musikschule/,9,159217,
MUSIKSINGSCHULEOGD.159218,POINT (16.371909815214334 48.17664741651211),Musikschule Favoriten,"10., Pernerstorfergasse 45",Montag bis Freitag ab 14:00 Uhr,,,,,,01 4000-10162,post-ms10a@ma13.wien.gv.at,http://www.wien.gv.at/bildung/schulen/musikschule/,10,159218,
MUSIKSINGSCHULEOGD.159219,POINT (16.3841500264267 48.15099384676964),Musikschule Hansson-Zentrum,"10., Ada-Christen-Gasse 2",Montag bis Freitag ab 14:00 Uhr,,,,,,01 4000 10180,post-ms10b@ma13.wien.gv.at,http://www.wien.gv.at/bildung/schulen/musikschule/,10,159219,
MUSIKSINGSCHULEOGD.159220,POINT (16.33136979472148 48.175044564584255),Musikschule Meidling,"12., Wilhelmstraﬂe 64",Montag bis Freitag ab 14:00 Uhr,,,,,,01 4000-12166,post-ms12@ma13.wien.gv.at,http://www.wien.gv.at/bildung/schulen/musikschule/,12,159220,
MUSIKSINGSCHULEOGD.159221,POINT (16.32486763285082 48.19030731411851),Musikschule Rudolfsheim-F¸nfhaus,"15., Schwendergasse 41",Montag bis Freitag ab 14:00 Uhr,,,,,,01 4000 15180,post-ms15@ma13.wien.gv.at,http://www.wien.gv.at/bildung/schulen/musikschule/,15,159221,
MUSIKSINGSCHULEOGD.159222,POINT (16.331524726514587 48.20973791560135),Musikschule Ottakring,"16., Thaliastraﬂe 44",Montag bis Freitag ab 14:00 Uhr,,,,,,01 4000 16162,post-ms16@ma13.wien.gv.at,http://www.wien.gv.at/bildung/schulen/musikschule/,16,159222,
MUSIKSINGSCHULEOGD.159223,POINT (16.332477628051002 48.21891133970279),Musikschule Hernals,"17., Kalvarienberggasse 33",Montag bis Freitag ab 14:00 Uhr,,,,,,01 4000 17163,post-ms17@ma13.wien.gv.at,http://www.wien.gv.at/bildung/schulen/musikschule/,17,159223,
MUSIKSINGSCHULEOGD.159224,POINT (16.355626219830025 48.24244963706334),Musikschule Dˆbling,"19., Dˆblinger Hauptstraﬂe 94",Montag bis Freitag ab 14:00 Uhr,,,,,,01 4000 19166,post-ms19@ma13.wien.gv.at,http://www.wien.gv.at/bildung/schulen/musikschule/,19,159224,
MUSIKSINGSCHULEOGD.159225,POINT (16.371482611395475 48.233381398211876),Musikschule Brigittenau,"20., Raffaelgasse 11",Montag bis Freitag ab 14:00 Uhr,,,,,,01 4000 20167,post-ms20@ma13.wien.gv.at,http://www.wien.gv.at/bildung/schulen/musikschule/,20,159225,
MUSIKSINGSCHULEOGD.159226,POINT (16.415461768562793 48.29338355170997),Musikschule Floridsdorf,"21., Kummergasse 6",,,,,,,01 4000-21166,post-ms21@ma13.wien.gv.at,http://www.wien.gv.at/bildung/schulen/musikschule/,21,159226,
MUSIKSINGSCHULEOGD.159227,POINT (16.41694866789194 48.23065470053649),Musikschule Donaustadt,"22., Sch¸ttaustraﬂe 2",Montag bis Freitag ab 14:00 Uhr,,,,,,01 4000-22160,post-ms22@ma13.wien.gv.at,http://www.wien.gv.at/bildung/schulen/musikschule/,22,159227,
MUSIKSINGSCHULEOGD.159228,POINT (16.32007127147534 48.150287923335384),Musikschule Alterlaa,"23., Putzendoplergasse 4",Montag bis Freitag ab 14:00 Uhr,,,,,,01 4000 23183,post-ms23a@ma13.wien.gv.at,http://www.wien.gv.at/bildung/schulen/musikschule/,23,159228,
MUSIKSINGSCHULEOGD.159229,POINT (16.282334696944538 48.134607937681125),Musikschule Liesing,"23., Perchtoldsdorfer Straﬂe 1",Montag bis Freitag ab 14:00 Uhr,,,,,,01 4000-23167,post-ms23b@ma13.wien.gv.at,http://www.wien.gv.at/bildung/schulen/musikschule/,23,159229,
MUSIKSINGSCHULEOGD.159230,POINT (16.34640349267826 48.21344182608207),"Musikschule Wien, Zentrale","8., Skodagasse 20",,,,,,,01 4000-84410,swea.hieltscher@wien.gv.at,http://www.wien.gv.at/bildung/schulen/musikschule/,8,159230,
MUSIKSINGSCHULEOGD.159231,POINT (16.28417087794876 48.169670518640814),Singschule,"13., Speisinger Straﬂe 44",,,,,,,01 4000-84425,post-singschule@ma13.wien.gv.at,http://www.wien.gv.at/bildung/schulen/musikschule/,13,159231,
MUSIKSINGSCHULEOGD.159232,POINT (16.272881178038627 48.20205779768295),Singschule,"14., Karl-Toldt-Weg 12",,,,,,,01 4000-84425,post-singschule@ma13.wien.gv.at,http://www.wien.gv.at/bildung/schulen/musikschule/,14,159232,
MUSIKSINGSCHULEOGD.159233,POINT (16.302914336712774 48.196666409064136),Singschule,"14., M‰rzstraﬂe 178-180",,,,,,,01 4000-84425,post-singschule@ma13.wien.gv.at,http://www.wien.gv.at/bildung/schulen/musikschule/,14,159233,
MUSIKSINGSCHULEOGD.159234,POINT (16.333546802018258 48.19054844049688),Singschule,"15., Friesgasse 10",,,,,,,01 4000-84425,post-singschule@ma13.wien.gv.at,http://www.wien.gv.at/bildung/schulen/musikschule/,15,159234,
MUSIKSINGSCHULEOGD.159235,POINT (16.32139103800369 48.20745026889306),Singschule,"16., Herbststraﬂe 86",,,,,,,01 4000-84425,post-singschule@ma13.wien.gv.at,http://www.wien.gv.at/bildung/schulen/musikschule/,16,159235,
MUSIKSINGSCHULEOGD.159236,POINT (16.31073545357252 48.21923277832852),Singschule,"16., Julius-Meinl-Gasse 1",,,,,,,01 4000-84425,post-singschule@ma13.wien.gv.at,http://www.wien.gv.at/bildung/schulen/musikschule/,16,159236,
MUSIKSINGSCHULEOGD.159237,POINT (16.308037472956837 48.208707228426064),Singschule,"16., Landsteinergasse 4",,,,,,,01 4000-84425,post-singschule@ma13.wien.gv.at,http://www.wien.gv.at/bildung/schulen/musikschule/,16,159237,
MUSIKSINGSCHULEOGD.159238,POINT (16.29202729029033 48.23170361333033),Singschule,"17., Knollgasse 4-6",,,,,,,01 4000-84425,post-singschule@ma13.wien.gv.at,http://www.wien.gv.at/bildung/schulen/musikschule/,17,159238,
MUSIKSINGSCHULEOGD.159239,POINT (16.32176106084366 48.21958546092453),Singschule,"17., Wichtelgasse 67",,,,,,,01 4000-84425,post-singschule@ma13.wien.gv.at,http://www.wien.gv.at/bildung/schulen/musikschule/,17,159239,
MUSIKSINGSCHULEOGD.159240,POINT (16.333589163963893 48.22968989061395),Singschule,"18., Kˆhlergasse 9",,,,,,,01 4000-84425,post-singschule@ma13.wien.gv.at,http://www.wien.gv.at/bildung/schulen/musikschule/,18,159240,
MUSIKSINGSCHULEOGD.159241,POINT (16.317242941235538 48.23727669910636),Singschule,"18., Scheibenbergstraﬂe 63",,,,,,,01 4000-84425,post-singschule@ma13.wien.gv.at,http://www.wien.gv.at/bildung/schulen/musikschule/,18,159241,
MUSIKSINGSCHULEOGD.159242,POINT (16.338892249562953 48.244283777017664),Singschule,"19., Flotowgasse 25",,,,,,,01 4000-84425,post-singschule@ma13.wien.gv.at,http://www.wien.gv.at/bildung/schulen/musikschule/,19,159242,
MUSIKSINGSCHULEOGD.159243,POINT (16.359436934544764 48.2538569280749),Singschule,"19., Grinzinger Straﬂe 88",,,,,,,01 4000-84425,post-singschule@ma13.wien.gv.at,http://www.wien.gv.at/bildung/schulen/musikschule/,19,159243,
MUSIKSINGSCHULEOGD.159244,POINT (16.352218160087308 48.240288588260924),Singschule,"19., Kreindlgasse 24",,,,,,,01 4000-84425,post-singschule@ma13.wien.gv.at,http://www.wien.gv.at/bildung/schulen/musikschule/,19,159244,
MUSIKSINGSCHULEOGD.159245,POINT (16.367238266243024 48.24030308039183),Singschule,"20., Dietmayrgasse 3",,,,,,,01 4000-84425,post-singschule@ma13.wien.gv.at,http://www.wien.gv.at/bildung/schulen/musikschule/,20,159245,
MUSIKSINGSCHULEOGD.159246,POINT (16.451737126540277 48.273634353498814),Singschule,"21., Herzmanovsky-Orlando-Gasse 11",,,,,,,01 4000-84425,post-singschule@ma13.wien.gv.at,http://www.wien.gv.at/bildung/schulen/musikschule/,21,159246,
MUSIKSINGSCHULEOGD.159247,POINT (16.38992312434798 48.26843137354139),Singschule,"21., Tomaschekstraﬂe 44",,,,,,,01 4000-84425,post-singschule@ma13.wien.gv.at,http://www.wien.gv.at/bildung/schulen/musikschule/,21,159247,
MUSIKSINGSCHULEOGD.159248,POINT (16.283168083016765 48.19619520999074),Singschule,"14., Felbigergasse 97",,,,,,,01 4000-84425,post-singschule@ma13.wien.gv.at,http://www.wien.gv.at/bildung/schulen/musikschule/,14,159248,
MUSIKSINGSCHULEOGD.159249,POINT (16.483560979831818 48.217289189441715),Singschule,"22., Asperner Heldenplatz 3",,,,,,,01 4000-84425,post-singschule@ma13.wien.gv.at,http://www.wien.gv.at/bildung/schulen/musikschule/,22,159249,
MUSIKSINGSCHULEOGD.159250,POINT (16.4592974417457 48.22032579847141),Singschule,"22., Wulzendorfstraﬂe 1",,,,,,,01 4000-84425,post-singschule@ma13.wien.gv.at,http://www.wien.gv.at/bildung/schulen/musikschule/,22,159250,
MUSIKSINGSCHULEOGD.159251,POINT (16.312056255124048 48.148210223519776),Singschule,"23., Alma-Seidler-Gasse 2",,,,,,,01 4000-84425,post-singschule@ma13.wien.gv.at,http://www.wien.gv.at/bildung/schulen/musikschule/,23,159251,
MUSIKSINGSCHULEOGD.159252,POINT (16.26757655695618 48.152298110430706),Singschule,"23., Bendagasse 1-2",,,,,,,01 4000-84425,post-singschule@ma13.wien.gv.at,http://www.wien.gv.at/bildung/schulen/musikschule/,23,159252,
MUSIKSINGSCHULEOGD.159253,POINT (16.255800912184878 48.20213741828568),Singschule,"14., Linzer Straﬂe 419",,,,,,,01 4000-84425,post-singschule@ma13.wien.gv.at,http://www.wien.gv.at/bildung/schulen/musikschule/,14,159253,
MUSIKSINGSCHULEOGD.159254,POINT (16.315849242473234 48.212474161618616),Singschule,"16., Grubergasse 4-6",,,,,,,01 4000-84425,post-singschule@ma13.wien.gv.at,http://www.wien.gv.at/bildung/schulen/musikschule/,16,159254,
MUSIKSINGSCHULEOGD.159255,POINT (16.33243992046322 48.21882386834942),Singschule,"17., Kalvarienberggasse 33",,,,,,,01 4000-84425,post-singschule@ma13.wien.gv.at,http://www.wien.gv.at/bildung/schulen/musikschule/,17,159255,
MUSIKSINGSCHULEOGD.159256,POINT (16.339935824197056 48.22904486304052),Singschule,"18., Cottagegasse 17",,,,,,,01 4000-84425,post-singschule@ma13.wien.gv.at,http://www.wien.gv.at/bildung/schulen/musikschule/,18,159256,
MUSIKSINGSCHULEOGD.159257,POINT (16.38336579591 48.26611617055882),Singschule,"21., Christian-Bucher-Gasse 14",,,,,,,01 4000-84425,post-singschule@ma13.wien.gv.at,http://www.wien.gv.at/bildung/schulen/musikschule/,21,159257,
MUSIKSINGSCHULEOGD.159258,POINT (16.415062273280487 48.292424233921174),Musikschule Floridsdorf,"21., Schumpeterweg 3",,,,,,,01 400- 21166,post-ms21@ma13.wien.gv.at,http://www.wien.gv.at/bildung/schulen/musikschule/,21,159258,
MUSIKSINGSCHULEOGD.159259,POINT (16.413644314037466 48.29995389060332),Musikschule Floridsdorf,"21., Dr.-Skala-Straﬂe 43-45",,,,,,,01 4000-21166,post-ms21@ma13.wien.gv.at,http://www.wien.gv.at/bildung/schulen/musikschule/,21,159259,
MUSIKSINGSCHULEOGD.159260,POINT (16.401791079176046 48.258689923450895),Musikschule Floridsdorf,"21., Angerer Straﬂe 14",,,,,,,01 4000-21166,post-ms21@ma13.wien.gv.at,http://www.wien.gv.at/bildung/schulen/musikschule/,21,159260,
MUSIKSINGSCHULEOGD.159261,POINT (16.272877401933275 48.202013965509835),Musikschule Rudolfsheim-F¸nfhaus,"15., Karl-Toldt-Weg 21",,,,,,,01 4000-15180,post-ms15@ma13.wien.gv.at,http://www.wien.gv.at/bildung/schulen/musikschule/,15,159261,
MUSIKSINGSCHULEOGD.159262,POINT (16.3794347619335 48.215580686027046),Musikschule Leopoldstadt,"2., Kleine Sperlgasse 10",,,,,,,01 4000-02169,post-ms02@ma13.wien.gv.at,http://www.wien.gv.at/bildung/schulen/musikschule/,2,159262,
MUSIKSINGSCHULEOGD.159263,POINT (16.389452791572964 48.19131748202658),Musikschule Landstraﬂe,"3., Strohgasse 15",,,,,,,01 4000-03171,post-ms03@ma13.wien.gv.at,http://www.wien.gv.at/bildung/schulen/musikschule/,3,159263,
