FID,SHAPE,NAME,ADRESSE,OEFFNUNGSZEITEN1,OEFFNUNGSZEITEN2,OEFFNUNGSZEITEN3,OEFFNUNGSZEITEN4,OEFFNUNGSZEITEN5,OEFFNUNGSZEITEN6,TELEFON,EMAIL,WEBLINK1,BEZIRK,SE_SDO_ROWID,SE_ANNO_CAD_DATA
BUECHEREIOGD.138131,POINT (16.392510651573073 48.20276971527396),Bücherei Erdbergstraße,"3., Erdbergstraße 5-7",Mo 11.00 bis 18.00 Uhr,Di 11.00 bis 18.00 Uhr,Mi 14.00 bis 18.00 Uhr,Do 11.00 bis 18.00 Uhr,Fr 11.00 bis 18.00 Uhr,,"01 4000-03 161, 0676 8118 63812",erdbergstrasse@buechereien.wien.at,http://www.buechereien.wien.at/de/standorteoeffnungszeiten/zweigstellen/erdbergstrasse,3,138131,
BUECHEREIOGD.138132,POINT (16.36696540551183 48.17954486766313),Bücherei Hasengasse,"10., Hasengasse 38",Mo 10.00 bis 12.00 Uhr und 14.00 bis 19.00 Uhr,Di 14.00 bis 18.00 Uhr,Do 10.00 bis 12.00 Uhr und 14.00 bis 18.00 Uhr,Fr 14.00 bis 18.00 Uhr,,,"01 4000-10165 bzw. 10166, 0676 8118 63814",hasengasse@buechereien.wien.at,http://www.buechereien.wien.at/de/standorteoeffnungszeiten/zweigstellen/hasengasse,10,138132,
BUECHEREIOGD.138133,POINT (16.369689467494567 48.1688492460941),Bücherei Laxenburger Straße,"10., Laxenburger Straße 90a",Mo 10.00 bis 12.00 Uhr und 14.00 bis 19.00 Uhr,Di 14.00 bis 18.00 Uhr,Do 10.00 bis 12.00 Uhr und 14.00 bis 18.00 Uhr,Fr 14.00 bis 18.00 Uhr,,,"01 4000-10 161, 0676 8118 63816",laxenburgerstrasse@buechereien.wien.at,http://www.buechereien.wien.at/de/standorteoeffnungszeiten/zweigstellen/laxenburgerstrasse,10,138133,
BUECHEREIOGD.138134,POINT (16.3841500264267 48.15099384676964),Bücherei Per-Albin-Hansson-Siedlung,"10., Ada-Christen-Gasse 2",Mo 10.00 bis 12.00 Uhr und 14.00 bis 19.00 Uhr,Di 14.00 bis 18.00 Uhr,Do 10.00 bis 12.00 Uhr und 14.00 bis 18.00 Uhr,Fr 14.00 bis 18.00 Uhr,,,"01 689 19 66, 0676 8118 63815",peralbinhanssonsiedlung@buechereien.wien.at,http://www.buechereien.wien.at/de/standorteoeffnungszeiten/zweigstellen/adachristengasse,10,138134,
BUECHEREIOGD.138135,POINT (16.463972399626368 48.1542456447927),Bücherei am Leberberg,"11., Rosa-Jochmann-Ring 5",Mo 10.00 bis 12.00 Uhr und 14.00 bis 19.00 Uhr,Di 14.00 bis 18.00 Uhr,Do 10.00 bis 12.00 Uhr und 14.00 bis 18.00 Uhr,Fr 14.00 bis 18.00 Uhr,,,"01 4000-11 162, 0676 8118 63819",amleberberg@buechereien.wien.at,http://www.buechereien.wien.at/de/standorteoeffnungszeiten/zweigstellen/rosajochmannring,11,138135,
BUECHEREIOGD.138136,POINT (16.330513541086752 48.175339954082894),Bücherei Philadelphiabrücke,"12., Meidlinger Hauptstraße 73",Mo 11.00 bis 19.00 Uhr,Di 11.00 bis 19.00 Uhr,Mi 11.00 bis 19.00 Uhr,Do 11.00 bis 19.00 Uhr,Fr 11.00 bis 19.00 Uhr,,01 4000-121 60,philadelphiabruecke@buechereien.wien.at,http://www.buechereien.wien.at/de/standorteoeffnungszeiten/zweigstellen/meidlingerhauptstrasse,12,138136,
BUECHEREIOGD.138137,POINT (16.326978244239324 48.16086196180181),Bücherei am Schöpfwerk,"12., Am Schöpfwerk 29",Mo 10.00 bis 12.00 Uhr und 14.00 bis 19.00 Uhr,Di 14.00 bis 18.00 Uhr,Do 10.00 bis 12.00 Uhr und 14.00 bis 18.00 Uhr,Fr 14.00 bis 18.00 Uhr,,,"01 4000-121 64, 0676 8118 63821",amschoepfwerk@buechereien.wien.at,http://www.buechereien.wien.at/de/standorteoeffnungszeiten/zweigstellen/amschoepfwerk,12,138137,
BUECHEREIOGD.138148,POINT (16.364521158960063 48.2540447591307),Bücherei Heiligenstadt,"19., Heiligenstaedter Straße 155",Mo 10.00 bis 12.00 Uhr und 14.00 bis 19.00 Uhr,Di 14.00 bis 18.00 Uhr,Do 10.00 bis 12.00 Uhr und 14.00 bis 18.00 Uhr,Fr 14.00 bis 18.00 Uhr,,,"01 318 67 24, 0676 8118 63843",heiligenstadt@buechereien.wien.at,http://www.buechereien.wien.at/de/standorteoeffnungszeiten/zweigstellen/heiligenstaedterstrasse,19,138148,
BUECHEREIOGD.138149,POINT (16.379852721746484 48.24135847944954),Bücherei Leystraße,"20., Leystraße 53",Mo 10.00 bis 12.00 Uhr und 14.00 bis 19.00 Uhr,Di 14.00 bis 18.00 Uhr,Do 10.00 bis 12.00 Uhr und 14.00 bis 18.00 Uhr,Fr 14.00 bis 18.00 Uhr,,,"01 332 07 37, 676 8118 63845",leystrasse@buechereien.wien.at,http://www.buechereien.wien.at/de/standorteoeffnungszeiten/zweigstellen/leystrasse,20,138149,
BUECHEREIOGD.138150,POINT (16.366477325499453 48.233451629191556),Bücherei Pappenheimgasse,"20., Pappenheimgasse 10-16",Mo 10.00 bis 12.00 Uhr und 14.00 bis 19.00 Uhr,Di 14.00 bis 18.00 Uhr,Do 10.00 bis 12.00 Uhr und 14.00 bis 18.00 Uhr,Fr 14.00 bis 18.00 Uhr,,,"01 333 10 52, 0676 8118 63847",pappenheimgasse@buechereien.wien.at,http://www.buechereien.wien.at/de/standorteoeffnungszeiten/zweigstellen/pappenheimgasse,20,138150,
BUECHEREIOGD.138151,POINT (16.44688392453292 48.27267487052419),Bücherei Großfeldsiedlung,"21., Kuerschnergasse 9",Mo 10.00 bis 12.00 Uhr und 14.00 bis 19.00 Uhr,Di 14.00 bis 18.00 Uhr,Do 10.00 bis 12.00 Uhr und 14.00 bis 18.00 Uhr,Fr 14.00 bis 18.00 Uhr,,,"01 259 85 20, 0676 8118 63850",grossfeldsiedlung@buechereien.wien.at,http://www.buechereien.wien.at/de/standorteoeffnungszeiten/zweigstellen/kueschnergasse,21,138151,
BUECHEREIOGD.138152,POINT (16.409815553764258 48.27784946926827),Bücherei Großjedlersdorf,"21., Bruenner Straße 138",Mo 10.00 bis 12.00 Uhr und 14.00 bis 19.00 Uhr,Di 14.00 bis 18.00 Uhr,Do 10.00 bis 12.00 Uhr und 14.00 bis 18.00 Uhr,Fr 14.00 bis 18.00 Uhr,,,"01 292 88 42, 0676 8118 63852",grossjedlersdorf@buechereien.wien.at,http://www.buechereien.wien.at/de/standorteoeffnungszeiten/zweigstellen/bruenner,21,138152,
BUECHEREIOGD.138153,POINT (16.40068126670132 48.26228065920639),Bücherei Schlingerhof,"21., Bruenner Straße 36",Mo 10.00 bis 12.00 Uhr und 14.00 bis 19.00 Uhr,Di 14.00 bis 18.00 Uhr,Do 10.00 bis 12.00 Uhr und 14.00 bis 18.00 Uhr,Fr 14.00 bis 18.00 Uhr,,,"01 278 13 45, 0676 8118 63848",schlingerhof@buechereien.wien.at,http://www.buechereien.wien.at/de/standorteoeffnungszeiten/zweigstellen/schlingerhof,21,138153,
BUECHEREIOGD.138138,POINT (16.28682389426136 48.17045638318622),Bücherei Hietzing,"13., Hofwiesengasse 48",Mo 10.00 bis 12.00 Uhr und 14.00 bis 19.00 Uhr,Di 14.00 bis 18.00 Uhr,Do 10.00 bis 12.00 Uhr und 14.00 bis 18.00 Uhr,Fr 14.00 bis 18.00 Uhr,,,"01 804 06 76, 0676 8118 63826",hietzing@buechereien.wien.at,http://www.buechereien.wien.at/de/standorteoeffnungszeiten/zweigstellen/hofwiesengasse,13,138138,
BUECHEREIOGD.138139,POINT (16.298468212765613 48.19799296851982),Bücherei Penzing,"14., Huetteldorfer Straße 130d",Mo 10.00 bis 12.00 Uhr und 14.00 bis 19.00 Uhr,Di 14.00 bis 18.00 Uhr,Do 10.00 bis 12.00 Uhr und 14.00 bis 18.00 Uhr,Fr 14.00 bis 18.00 Uhr,,,01 4000-14 161,penzing@buechereien.wien.at,http://www.buechereien.wien.at/de/standorteoeffnungszeiten/zweigstellen/huetteldorferstrasse,14,138139,
BUECHEREIOGD.138140,POINT (16.2710220364112 48.19873893582987),Bücherei Breitnerhof,"14., Linzer Straße 309",Mo 10.00 bis 12.00 Uhr und 14.00 bis 19.00 Uhr,Di 14.00 bis 18.00 Uhr,Do 10.00 bis 12.00 Uhr und 14.00 bis 18.00 Uhr,Fr 14.00 bis 18.00 Uhr,,,"01 416 59 37, 0676 8118 63827",breitnerhof@buechereien.wien.at,http://www.buechereien.wien.at/de/standorteoeffnungszeiten/zweigstellen/linzerstrasse,14,138140,
BUECHEREIOGD.138141,POINT (16.32486763285082 48.19030731411851),Bücherei Schwendermarkt,"15., Schwendergasse 39-43",Mo 10.00 bis 12.00 Uhr und 14.00 bis 19.00 Uhr,Di 14.00 bis 18.00 Uhr,Do 10.00 bis 12.00 Uhr und 14.00 bis 18.00 Uhr,Fr 14.00 bis 18.00 Uhr,,,"01 893 69 47, 0676 8118 63832",schwendermarkt@buechereien.wien.at,http://www.buechereien.wien.at/de/standorteoeffnungszeiten/zweigstellen/schwendergasse,15,138141,
BUECHEREIOGD.138142,POINT (16.321711465151687 48.1987319720674),Bücherei am Meiselmarkt,"15., Hütteldorfer Straße 81a",Mo 10.00 bis 12.00 Uhr und 14.00 bis 19.00 Uhr,Di 14.00 bis 18.00 Uhr,Do 10.00 bis 12.00 Uhr und 14.00 bis 18.00 Uhr,Fr 14.00 bis 18.00 Uhr,,,"01 982 41 95, 0676 8118 63831",ammeiselmarkt@buechereien.wien.at,http://www.buechereien.wien.at/de/standorteoeffnungszeiten/zweigstellen/huetteldorf,15,138142,
BUECHEREIOGD.138143,POINT (16.319342423795 48.211229117749646),Bücherei Ottakring,"16., Schuhmeierplatz 17",Mo 10.00 bis 12.00 Uhr und 14.00 bis 19.00 Uhr,Fr 14.00 bis 18.00 Uhr,<Null>,<Null>,,,"01 492 51 26, 0676 8118 63836",ottakring@buechereien.wien.at,http://www.buechereien.wien.at/de/standorteoeffnungszeiten/zweigstellen/schuhmeierplatz,16,138143,
BUECHEREIOGD.138144,POINT (16.306006384443684 48.22172853346725),Bücherei Sandleiten,"16., Rosa-Luxemburggasse 4",Mo 10.00 bis 12.00 Uhr und 14.00 bis 19.00 Uhr,Di 14.00 bis 18.00 Uhr,Do 10.00 bis 12.00 Uhr und 14.00 bis 18.00 Uhr,Fr 14.00 bis 18.00 Uhr,,,"01 486 61 44, 0676 8118 63835",sandleiten@buechereien.wien.at,http://www.buechereien.wien.at/de/standorteoeffnungszeiten/zweigstellen/rosaluxemburggasse,16,138144,
BUECHEREIOGD.138145,POINT (16.33112398785879 48.218731336523824),Bücherei Hernals,"17., Hormayrgasse 2",Mo 10.00 bis 12.00 Uhr und 13.00 bis 19.00 Uhr,Di 13.00 bis 18.00 Uhr,Do 10.00 bis 12.00 Uhr und 13.00 bis 18.00 Uhr,Fr 13.00 bis 18.00 Uhr,,,"01 4000-17 162, 0676 8118 63839",hernals@buechereien.wien.at,http://www.buechereien.wien.at/de/standorteoeffnungszeiten/zweigstellen/hormayrgasse,17,138145,
BUECHEREIOGD.138146,POINT (16.340511920174183 48.226121210637395),Bücherei Weimarer Straße,"18., Weimarer Straße 8",Mo 10.00 bis 12.00Uhr und 13.45 bis 19.00 Uhr,Di 13.45 bis 18.00 Uhr,Do 10.00 bis 12.00 Uhr 13.45 bis 18.00 Uhr,Fr 13.45 bis 18.00 Uhr,,,"01 405 42 90, 0676 8118 63841",weimarerstrasse@buechereien.wien.at,http://www.buechereien.wien.at/de/standorteoeffnungszeiten/zweigstellen/weimarerstrasse,18,138146,
BUECHEREIOGD.138147,POINT (16.349394688616787 48.238233382289046),Bücherei Billrothstraße,"19., Billrothstraße 32",Mo 11.00 bis 19.00 Uhr; Kinderbücherei 11.00 bis 18.00 Uhr,Di 14.00 bis 18.00 Uhr,Mi 14.00 bis 18.00 Uhr,Do 14.00 bis 18.00 Uhr,Fr 11.00 bis 18.00 Uhr,,"01 4000-19 162, 0676 8118 63853",billrothstrasse@buechereien.wien.at,http://www.buechereien.wien.at/de/standorteoeffnungszeiten/zweigstellen/billrothstrasse,19,138147,
BUECHEREIOGD.138154,POINT (16.438573696732533 48.24078593497293),Bücherei Donaustadt,"22., Bernoullistraße 1",Mo 11.00 bis 18.00 Uhr,Di 11.00 bis 18.00 Uhr,Mi 14.00 bis 18.00 Uhr,Do 11.00 bis 18.00 Uhr,Fr 11.00 bis 18.00 Uhr,,"01 4000-22 161, 0676 8118 63849",donaustadt@buechereien.wien.at,http://www.buechereien.wien.at/de/standorteoeffnungszeiten/zweigstellen/bernoullistrasse,22,138154,
BUECHEREIOGD.138155,POINT (16.465032297472337 48.22576188980416),Bücherei Stadlau,"22., Erzherzog-Karl-Straße 169",Mo 10.00 bis 12.00 Uhr und 14.00 bis 19.00 Uhr,Di 14.00 bis 18.00 Uhr,Do 10.00 bis 12.00 Uhr und 14.00 bis 18.00 Uhr,Fr 14.00 bis 18.00 Uhr,,,"01 285 65 51, 0676 8118 63846",stadlau@buechereien.wien.at,http://www.buechereien.wien.at/de/standorteoeffnungszeiten/zweigstellen/erzherzogkarlstrasse,22,138155,
BUECHEREIOGD.138156,POINT (16.42070147041345 48.22870946533798),Bücherei Kaisermühlen,"22., Schüttaustraße 39",Mo 10.00 bis 12.00 Uhr und 14.00 bis 19.00 Uhr,Di 14.00 bis 18.00 Uhr,Do 10.00 bis 12.00 Uhr und 14.00 bis 18.00 Uhr,Fr 14.00 bis 18.00 Uhr,,,"01 269 32 51, 0676 8118 63803",kaisermuehlen@buechereien.wien.at,http://www.buechereien.wien.at/de/standorteoeffnungszeiten/zweigstellen/schuettaustrasse,22,138156,
BUECHEREIOGD.138157,POINT (16.486131519047692 48.21765476235296),Bücherei Aspern,"22., Siegesplatz 7",Mo 10.00 bis 12.00 Uhr und 14.00 bis 19.00 Uhr,Di 14.00 bis 18.00 Uhr,Do 10.00 bis 12.00 Uhr und 14.00 bis 18.00 Uhr,Fr 14.00 bis 18.00 Uhr,,,"01 280 84 10, 0676 8118 63851",aspern@buechereien.wien.at,http://www.buechereien.wien.at/de/standorteoeffnungszeiten/zweigstellen/siegesplatz,22,138157,
BUECHEREIOGD.138158,POINT (16.31467685506986 48.1510444596553),Bücherei Alt-Erlaa,"23., Anton-Baumgartner-Straße 44/48",Mo 10.00 bis 12.00 Uhr und 14.00 bis 19.00 Uhr,Di 14.00 bis 18.00 Uhr,Do 10.00 bis 12.00 Uhr und 14.00 bis 18.00 Uhr,Fr 14.00 bis 18.00 Uhr,,,"01 667 89 03, 0676 8118 63856",alterlaa@buechereien.wien.at,http://www.buechereien.wien.at/de/standorteoeffnungszeiten/zweigstellen/antonbaumgartnerstrasse,23,138158,
BUECHEREIOGD.138159,POINT (16.28275734356055 48.13566844362429),Bücherei Liesing,"23., Breitenfurter Straße 358",Mo 11.00 bis 18.00 Uhr,Di 11.00 bis 18.00 Uhr,Mi 14.00 bis 18.00 Uhr,Do 11.00 bis 18.00 Uhr,Fr 11.00 bis 18.00 Uhr,,"01 4000-23161, 0676 8118 63854",liesing@buechereien.wien.at,http://www.buechereien.wien.at/de/standorteoeffnungszeiten/zweigstellen/breitenfurterstrasse,23,138159,
