FID,OBJECTID,SHAPE,ADRESSE,BEZIRK,STOCK,INFO,HINWEIS,SE_ANNO_CAD_DATA
DEFIBRILLATOROGD.21997,21997,POINT (16.320787276627513 48.22509223574436),"17., Richthausenstraﬂe 2-4",17,,MA-48 Mistplatz,Bitte ÷ffnungszeiten beachten,
DEFIBRILLATOROGD.21998,21998,POINT (16.301725674995836 48.236235526788214),"17., Josef Redl Gasse 2",17,,Schafbergbad,Bitte ÷ffnungszeiten beachten,
DEFIBRILLATOROGD.21999,21999,POINT (16.334204701042285 48.2269846695664),"18., Klostergasse 27",18,,W‰hringerbad,Bitte ÷ffnungszeiten beachten,
DEFIBRILLATOROGD.22000,22000,POINT (16.342417274916848 48.22684033716644),"18., Martinstraﬂe 100",18,Stock 1,1.Stk BV Bereich,Bitte ÷ffnungszeiten beachten,
DEFIBRILLATOROGD.22001,22001,POINT (16.348918760467917 48.2314312529902),"18., W‰hringer Park ",18,,Familienbad,Bitte ÷ffnungszeiten beachten,
DEFIBRILLATOROGD.22002,22002,POINT (16.353658678621237 48.23889812007215),"19., Gatterburggasse 12-14",19,,Portiersbereich,Bitte ÷ffnungszeiten beachten,
DEFIBRILLATOROGD.22003,22003,POINT (16.35796774305168 48.250832467554346),"19., Geweygasse 6",19,,Dˆblingerbad,Bitte ÷ffnungszeiten beachten,
DEFIBRILLATOROGD.22004,22004,POINT (16.36775509788018 48.25467295811521),"19., Grinzingerstraﬂe 151",19,,MA-48 Mistplatz,Bitte ÷ffnungszeiten beachten,
DEFIBRILLATOROGD.22005,22005,POINT (16.33491483160279 48.23972731797819),"19., Hugo Wolf Park ",19,,Familienbad,Bitte ÷ffnungszeiten beachten,
DEFIBRILLATOROGD.22006,22006,POINT (16.330979515769975 48.267054360974576),"19., Krapfenwaldgasse 65-73",19,,Krapfenwaldl-Bad,Bitte ÷ffnungszeiten beachten,
DEFIBRILLATOROGD.22007,22007,POINT (16.330979515769975 48.267054360974576),"19., Krapfenwaldgasse 65-73",19,,Krapfenwaldl-Bad,Bitte ÷ffnungszeiten beachten,
DEFIBRILLATOROGD.22008,22008,POINT (16.342049548989305 48.24164699353066),"19., Leidesdorfgasse 1",19,,MA-48 Mistplatz,Bitte ÷ffnungszeiten beachten,
DEFIBRILLATOROGD.22009,22009,POINT (16.370014950777666 48.252074429266045),"19., Muthgasse 62",19,Stock 1,1.OG Ecke Bereich Sanit‰tsraum/Magistrale,Bitte ÷ffnungszeiten beachten,
DEFIBRILLATOROGD.22010,22010,POINT (16.370014950777666 48.252074429266045),"19., Muthgasse 62",19,Stock 1,1.OG neben Betriebs‰rztlicher Station,Bitte ÷ffnungszeiten beachten,
DEFIBRILLATOROGD.22011,22011,POINT (16.370014950777666 48.252074429266045),"19., Muthgasse 62",19,Stock 4,4.Og Schnittpunkt C-Riegel gg¸ Treppe,Bitte ÷ffnungszeiten beachten,
DEFIBRILLATOROGD.22012,22012,POINT (16.370014950777666 48.252074429266045),"19., Muthgasse 62",19,Stock 4,4.OG Schnittpunkt E/G Riegel gg¸ Aufzug,Bitte ÷ffnungszeiten beachten,
DEFIBRILLATOROGD.22013,22013,POINT (16.354184406506324 48.19055808059994),"5., Schˆnbrunnerstraﬂe 54",5,,Portiersbereich,Bitte ÷ffnungszeiten beachten,
DEFIBRILLATOROGD.22014,22014,POINT (16.35090495022709 48.197062602133826),"6., Amerlingstraﬂe 11",6,Stock 3,"Bereich MA-15,(BV hat eigenen Defi)",Bitte ÷ffnungszeiten beachten,
DEFIBRILLATOROGD.22015,22015,POINT (16.35090495022709 48.197062602133826),"6., Amerlingstraﬂe 11",6,Stock 1,Bezirksvorsteher,Bitte ÷ffnungszeiten beachten,
DEFIBRILLATOROGD.22016,22016,POINT (16.349920334643723 48.19119072815784),"6., Grabnergasse 4-6",6,,MA 31 Portierbereich,Bitte ÷ffnungszeiten beachten,
DEFIBRILLATOROGD.22017,22017,POINT (16.342064710104573 48.18949141016068),"6., Mollardgasse 87",6,,beim Hallenwart,Bitte ÷ffnungszeiten beachten,
DEFIBRILLATOROGD.22018,22018,POINT (16.347034050115933 48.20284369053448),"7., Hermanngasse 24-26",7,,"Ausgang Innenhof, n‰he Portier",Bitte ÷ffnungszeiten beachten,
DEFIBRILLATOROGD.22019,22019,POINT (16.347302050104673 48.20292685158578),"7., Hermanngasse 28",7,,Hermannbad,Bitte ÷ffnungszeiten beachten,
DEFIBRILLATOROGD.22020,22020,POINT (16.337297146589247 48.202327297107054),"7., Urban Loritzplatz 2a",7,,Sanit‰tsraum MA13,Bitte ÷ffnungszeiten beachten,
DEFIBRILLATOROGD.22021,22021,POINT (16.353546970687816 48.21015883559569),"8., Buchfeldgasse 6",8,,MA24,Bitte ÷ffnungszeiten beachten,
DEFIBRILLATOROGD.22022,22022,POINT (16.345348187405005 48.2136005224818),"8., Feldgasse 9",8,Stock 2,MA-15,Bitte ÷ffnungszeiten beachten,
DEFIBRILLATOROGD.22023,22023,POINT (16.355048726117474 48.210309794992256),"8., Friedrich Schmidt Platz 3",8,,Portiersbereich,Bitte ÷ffnungszeiten beachten,
DEFIBRILLATOROGD.22024,22024,POINT (16.355123750327635 48.211250693296115),"8., Friedrich Schmidt Platz 5",8,,Portiersbereich,Bitte ÷ffnungszeiten beachten,
DEFIBRILLATOROGD.22025,22025,POINT (16.354309608520722 48.20679442629596),"8., Lerchenfelderstraﬂe 4",8,,Portiersbereich,Bitte ÷ffnungszeiten beachten,
DEFIBRILLATOROGD.22026,22026,POINT (16.354309608520722 48.20679442629596),"8., Lerchenfelderstraﬂe 4",8,Stock 4,"Aufzugsbereich, n‰he Feuerlˆscher",Bitte ÷ffnungszeiten beachten,
DEFIBRILLATOROGD.22027,22027,POINT (16.34675597411053 48.212642031245345),"8., Schlesingerplatz 2-6",8,,Portiersbereich,Bitte ÷ffnungszeiten beachten,
DEFIBRILLATOROGD.22028,22028,POINT (16.357025470734364 48.227374241114696),"9., Salzergasse 28",9,Stock 2,Narkosebereich,Bitte ÷ffnungszeiten beachten,
DEFIBRILLATOROGD.22029,22029,POINT (16.354727303519486 48.221082535512174),"9., W‰hringer Straﬂe 43",9,Stock 1,Eingang Bezirksvorstehung,Bitte ÷ffnungszeiten beachten,
DEFIBRILLATOROGD.22030,22030,POINT (16.35085659612014 48.221582500778595),"9., Wilhelm Exnergasse 5",9,,neben Portierloge,Bitte ÷ffnungszeiten beachten,
DEFIBRILLATOROGD.22031,22031,POINT (16.382769056760207 48.1637960146385),"10., Favoritenstraﬂe 211",10,Stock 2/3,Stiegenhaus zw 2. + 3. Stock,Bitte ÷ffnungszeiten beachten,
DEFIBRILLATOROGD.22032,22032,POINT (16.38997734956072 48.175740375396366),"10., Gudrunstraﬂe ",10,,Familienbad,Bitte ÷ffnungszeiten beachten,
DEFIBRILLATOROGD.22033,22033,POINT (16.338619758960157 48.162491621015754),"10., Gutheil Schoder Gasse 9",10,,beim Hallenwart,Bitte ÷ffnungszeiten beachten,
DEFIBRILLATOROGD.22034,22034,POINT (16.392012757402185 48.147659664482816),"10., Jura Soyfergasse 3",10,,beim Hallenwart,Bitte ÷ffnungszeiten beachten,
DEFIBRILLATOROGD.22035,22035,POINT (16.37400481913161 48.17878618720812),"10., Laxenburgerstraﬂe 43-47",10,Erdgesch.,gg¸ber Kassa der BA 35,Bitte ÷ffnungszeiten beachten,
DEFIBRILLATOROGD.22036,22036,POINT (16.38477104795539 48.159354766153214),"10., Ludwig v. Hˆhnel Gasse 2",10,,Laaerbergbad,Bitte ÷ffnungszeiten beachten,
DEFIBRILLATOROGD.22037,22037,POINT (16.384150026405692 48.15099382428647),"10., Ada Christengasse 2",10,,Warteraum,Bitte ÷ffnungszeiten beachten,
DEFIBRILLATOROGD.22038,22038,POINT (16.378796288939338 48.174278618178434),"10., Reumannplatz 23",10,,"Amalienbad, Schwimmhalle",Bitte ÷ffnungszeiten beachten,
DEFIBRILLATOROGD.22039,22039,POINT (16.378796288939338 48.174278618178434),"10., Reumannplatz 23",10,,"Amalienbad, Kanzlei",Bitte ÷ffnungszeiten beachten,
DEFIBRILLATOROGD.22040,22040,POINT (16.362618314355924 48.1769679739104),"10., Sonnleithnergasse 30",10,,MA-48 Mistplatz,Bitte ÷ffnungszeiten beachten,
DEFIBRILLATOROGD.22041,22041,POINT (16.392189811806926 48.161031434492045),"10., Theodor Sickel Gasse 4-6/1",10,,Haus 1,Bitte ÷ffnungszeiten beachten,
DEFIBRILLATOROGD.22042,22042,POINT (16.410175461260486 48.19447800934618),"3., Thomas-Klestil-Platz 7/1",3,,KAV Krankenanstaltverbund Gen.Dir. Portier,Bitte ÷ffnungszeiten beachten,
DEFIBRILLATOROGD.22043,22043,POINT (16.445649569477702 48.181339530778416),"11., 7.Haidequerstraﬂe 5",11,Stock 1,1 OG n‰he Zi 202,Bitte ÷ffnungszeiten beachten,
DEFIBRILLATOROGD.22044,22044,POINT (16.41637052908791 48.184693173388446),"11., Dˆblerhofstraﬂe 18",11,,MA-48 Mistplatz,Bitte ÷ffnungszeiten beachten,
DEFIBRILLATOROGD.22045,22045,POINT (16.413662022856 48.175582089797565),"11., Enkplatz 2",11,,gegen¸ber Aufzug,Bitte ÷ffnungszeiten beachten,
DEFIBRILLATOROGD.22046,22046,POINT (16.431892214721007 48.16724369185083),"11., Florian Hedorfer Straﬂe 24",11,,Simmeringerbad,Bitte ÷ffnungszeiten beachten,
DEFIBRILLATOROGD.22047,22047,POINT (16.431892214721007 48.16724369185083),"11., Florian Hedorfer Straﬂe 24",11,,beim Hallenwart,Bitte ÷ffnungszeiten beachten,
DEFIBRILLATOROGD.22048,22048,POINT (16.421565974871207 48.184851303926884),"11., Guglgasse 14",11,,Zimmer 505 A neben Verbandskasten,Bitte ÷ffnungszeiten beachten,
DEFIBRILLATOROGD.22049,22049,POINT (16.421565974871207 48.184851303926884),"11., Guglgasse 14",11,Stock 4,Ben¸tzersaal bei Anmeldung,Bitte ÷ffnungszeiten beachten,
DEFIBRILLATOROGD.22050,22050,POINT (16.410005378179754 48.17303984051231),"11., Herderpark ",11,,Familienbad,Bitte ÷ffnungszeiten beachten,
DEFIBRILLATOROGD.22051,22051,POINT (16.453496272972092 48.171942570244234),"11., Jedletzbergerstraﬂe 1",11,,MA-48 Abschleppgruppe,Bitte ÷ffnungszeiten beachten,
DEFIBRILLATOROGD.22052,22052,POINT (16.406554001927084 48.18422343917262),"11., Rinnbˆckstraﬂe 15",11,,"Hauptgeb‰ude, Portiersbereich",Bitte ÷ffnungszeiten beachten,
DEFIBRILLATOROGD.22053,22053,POINT (16.406222101626238 48.18466585750347),"11., Rinnbˆckstraﬂe 15",11,,Brandhalle,Bitte ÷ffnungszeiten beachten,
DEFIBRILLATOROGD.22054,22054,POINT (16.407451130069735 48.18457515870269),"11., Rinnbˆckstraﬂe 15",11,,Groﬂbauteilhalle,Bitte ÷ffnungszeiten beachten,
DEFIBRILLATOROGD.22055,22055,POINT (16.398903483988814 48.17812691572524),"11., Senngasse 2",11,,Sanit‰tsraum,Bitte ÷ffnungszeiten beachten,
DEFIBRILLATOROGD.22056,22056,POINT (16.333289195592528 48.182029416261486),"12., Arndtstraﬂe 65",12,Stock 1,Rezeption,Bitte ÷ffnungszeiten beachten,
DEFIBRILLATOROGD.22057,22057,POINT (16.32803931302278 48.18183946993611),"12., Hufelandgasse 3",12,,Theresienbad,Bitte ÷ffnungszeiten beachten,
DEFIBRILLATOROGD.22058,22058,POINT (16.32803931302278 48.18183946993611),"12., Hufelandgasse 3",12,,Theresienbad,Bitte ÷ffnungszeiten beachten,
DEFIBRILLATOROGD.22059,22059,POINT (16.35630321126711 48.20847188216739),"1., Doblhoffgasse 6",1,Erdgesch.,EG Portier schr‰g visavis,Bitte ÷ffnungszeiten beachten,
DEFIBRILLATOROGD.22060,22060,POINT (16.35590060774357 48.20869593823242),"1., Rathausstraﬂe 2",1,,Halbstock neben Aufzug,Bitte ÷ffnungszeiten beachten,
DEFIBRILLATOROGD.22061,22061,POINT (16.356568419791543 48.20886584868257),"1., Bartensteingasse 9",1,Erdgesch.,EG visavis Wohnservice,Bitte ÷ffnungszeiten beachten,
DEFIBRILLATOROGD.22062,22062,POINT (16.357826776197548 48.211924982482415),"1., Ebendorferstraﬂe 2",1,Stock 4,Aufzugsbereich,Bitte ÷ffnungszeiten beachten,
DEFIBRILLATOROGD.22111,22111,POINT (16.347895503759734 48.21045672714283),"8., Fuhrmannsgasse 5",8,,Kanzlei Zimmer 03.2.09,Bitte ÷ffnungszeiten beachten,
DEFIBRILLATOROGD.22112,22112,POINT (16.3697165129134 48.179082628414626),"10., Van-der-N¸ll-Gasse 11",10,,,Bitte ÷ffnungszeiten beachten,
DEFIBRILLATOROGD.22113,22113,POINT (16.41313284927806 48.17535024066725),"11., Enkplatz 3",11,,Kanzlei,Bitte ÷ffnungszeiten beachten,
DEFIBRILLATOROGD.22114,22114,POINT (16.324301545054457 48.1743093133523),"12., Hohenbergstraﬂe 1",12,,Kanzlei,Bitte ÷ffnungszeiten beachten,
DEFIBRILLATOROGD.22115,22115,POINT (16.332475855156655 48.19744596766923),"15., Tannengasse 8-10",15,,Kanzlei,Bitte ÷ffnungszeiten beachten,
DEFIBRILLATOROGD.22116,22116,POINT (16.318496058325593 48.21362830747346),"16., Wattgasse 15",16,,Kanzlei Zimmer 126,Bitte ÷ffnungszeiten beachten,
DEFIBRILLATOROGD.22117,22117,POINT (16.355902213656403 48.24746454338245),"19., Hohe Warte 32",19,,Kanzlei Zimmer19A,Bitte ÷ffnungszeiten beachten,
DEFIBRILLATOROGD.22118,22118,POINT (16.369428383091197 48.23402823453821),"20., Pappenheimgasse 33",20,,Kanzlei,Bitte ÷ffnungszeiten beachten,
DEFIBRILLATOROGD.22119,22119,POINT (16.3973908532916 48.26030591522224),"21., Hermann-Bahr-Straﬂe 3",21,,Kanzlei Zimmer 163,Bitte ÷ffnungszeiten beachten,
DEFIBRILLATOROGD.22120,22120,POINT (16.436202888343278 48.243869611220134),"22., Wagramer Straﬂe 89",22,,Kanzlei Zimmer 229,Bitte ÷ffnungszeiten beachten,
DEFIBRILLATOROGD.22121,22121,POINT (16.281120225929463 48.13543607126404),"23., Lehmanngasse 3A",23,,Kanzlei,Bitte ÷ffnungszeiten beachten,
DEFIBRILLATOROGD.22122,22122,POINT (16.36702441047857 48.219536080672135),"9., Berggasse 41",9,,Sicherheitszentrale,Bitte ÷ffnungszeiten beachten,
DEFIBRILLATOROGD.22123,22123,POINT (16.36007773154436 48.218271776845),"9., Wasagasse 22",9,,Torwache,Bitte ÷ffnungszeiten beachten,
DEFIBRILLATOROGD.22124,22124,POINT (16.378874464927144 48.19996564205864),"3., Marokkanergasse 4",3,,,Bitte ÷ffnungszeiten beachten,
DEFIBRILLATOROGD.22125,22125,POINT (16.365836472998282 48.2197469837696),"9., Hahngasse 6",9,,,Bitte ÷ffnungszeiten beachten,
DEFIBRILLATOROGD.22126,22126,POINT (16.346635071451413 48.20271329438931),"7., Kandlgasse 1",7,,,Bitte ÷ffnungszeiten beachten,
DEFIBRILLATOROGD.22127,22127,POINT (16.35309067027888 48.1970218430805),"6., Kopernikusgasse 1",6,,,Bitte ÷ffnungszeiten beachten,
DEFIBRILLATOROGD.22128,22128,POINT (16.376422437586815 48.2196268959935),"2., Leopoldsgasse 18",2,,,Bitte ÷ffnungszeiten beachten,
DEFIBRILLATOROGD.22129,22129,POINT (16.43632490104969 48.24382986139996),"22., Wagramer Straﬂe 89",22,,Journalzimmer Nr. 301,Bitte ÷ffnungszeiten beachten,
DEFIBRILLATOROGD.22130,22130,POINT (16.369712635874986 48.17904513410575),"10., Van-der-N¸ll-Gasse 11",10,,,Bitte ÷ffnungszeiten beachten,
DEFIBRILLATOROGD.22131,22131,POINT (16.318496204752538 48.21369199621647),"16., Wattgasse 15",16,,Zimmer 312,Bitte ÷ffnungszeiten beachten,
DEFIBRILLATOROGD.22132,22132,POINT (16.365578972201718 48.21725900319121),"9., Schlickplatz 6",9,,Torwache,Bitte ÷ffnungszeiten beachten,
DEFIBRILLATOROGD.22133,22133,POINT (16.36564192676888 48.21718873961144),"9., Schlickplatz 6",9,,Kradwerkst‰tte,Bitte ÷ffnungszeiten beachten,
DEFIBRILLATOROGD.22134,22134,POINT (16.36104058846857 48.21794509645407),"9., Berggasse 9",9,,Unterkunft,Bitte ÷ffnungszeiten beachten,
DEFIBRILLATOROGD.22135,22135,POINT (16.363881027305442 48.214962567077336),"1., Schottenring 7-9",1,,Kanzlei,Bitte ÷ffnungszeiten beachten,
DEFIBRILLATOROGD.22136,22136,POINT (16.364013073931 48.215032045919706),"1., Schottenring 7-9",1,,Hauswachzimmer Zimmer 52 Pl,Bitte ÷ffnungszeiten beachten,
DEFIBRILLATOROGD.22137,22137,POINT (16.370800473222875 48.28560548407211),"21., Hofherr-Schrantz-Gasse 6",21,,,Bitte ÷ffnungszeiten beachten,
DEFIBRILLATOROGD.22138,22138,POINT (16.386163906028603 48.231346758069826),"20., Dresdner Straﬂe 109",20,,,Bitte ÷ffnungszeiten beachten,
DEFIBRILLATOROGD.22139,22139,POINT (16.367418874402325 48.220484918329944),"9., Roﬂauer L‰nde 9",9,,,Bitte ÷ffnungszeiten beachten,
DEFIBRILLATOROGD.22140,22140,POINT (16.366896939540503 48.232896209106876),"20., Romanogasse 27",20,,Annahmestelle (Kanzlei),Bitte ÷ffnungszeiten beachten,
DEFIBRILLATOROGD.22082,22082,POINT (16.40018959160579 48.220758428353726),"2., Max Winter Platz 4",2,,Familienbad,Bitte ÷ffnungszeiten beachten,
DEFIBRILLATOROGD.22083,22083,POINT (16.419657911087906 48.20645158724154),"2., Meiereistraﬂe 7/B",2,Stock 2,visavis Aufzug,Bitte ÷ffnungszeiten beachten,
DEFIBRILLATOROGD.22084,22084,POINT (16.420055307745685 48.206274077043105),"2., Meiereistraﬂe 7/E",2,Stock 2,,Bitte ÷ffnungszeiten beachten,
DEFIBRILLATOROGD.22085,22085,POINT (16.382460882665743 48.217795836294854),"2., Rotensterngasse 9-11",2,,Portiersbereich,Bitte ÷ffnungszeiten beachten,
DEFIBRILLATOROGD.22086,22086,POINT (16.38294856671096 48.200414077844286),"3., Am Modenapark 1-2",3,,Portiersbereich,Bitte ÷ffnungszeiten beachten,
DEFIBRILLATOROGD.22087,22087,POINT (16.38294856671096 48.200414077844286),"3., Am Modenapark 1-2",3,Stock 4,,Bitte ÷ffnungszeiten beachten,
DEFIBRILLATOROGD.22088,22088,POINT (16.396626453392773 48.19889458032118),"3., Apostelgasse 18",3,,Apostelbad,Bitte ÷ffnungszeiten beachten,
DEFIBRILLATOROGD.22089,22089,POINT (16.400724526373388 48.18623385407177),"3., Grasbergergasse 3",3,,MA 48 Mistplatz,Bitte ÷ffnungszeiten beachten,
DEFIBRILLATOROGD.22090,22090,POINT (16.40402129789808 48.189472880007536),"3., Henneberggasse 3",3,Stock 1,,Bitte ÷ffnungszeiten beachten,
DEFIBRILLATOROGD.22091,22091,POINT (16.388651272731725 48.20133003955677),"3., Karl Borrom‰us-Platz 3",3,,Portiersbereich,Bitte ÷ffnungszeiten beachten,
DEFIBRILLATOROGD.22092,22092,POINT (16.402617396706603 48.19639340794552),"3., Hainburgerstraﬂe 57",3,,Arztzimmer,Bitte ÷ffnungszeiten beachten,
DEFIBRILLATOROGD.22093,22093,POINT (16.412937072607107 48.183711325973135),"3., Modecenterstraﬂe 22",3,,Kanzleibereich MA 67,Bitte ÷ffnungszeiten beachten,
DEFIBRILLATOROGD.22094,22094,POINT (16.401683259301503 48.19833563148212),"3., R¸dengasse 11",3,Erdgesch.,Bereich vor K¸che,Bitte ÷ffnungszeiten beachten,
DEFIBRILLATOROGD.22095,22095,POINT (16.38831806440611 48.18752353934704),"3., Schweizergarten ",3,,Familienbad,Bitte ÷ffnungszeiten beachten,
DEFIBRILLATOROGD.22096,22096,POINT (16.410312511105083 48.19437365644543),"3., Thomas Klestil Platz 7/11",3,Stock 0,Town Town CB19 Ebene 0 neben Eingangst¸re,Bitte ÷ffnungszeiten beachten,
DEFIBRILLATOROGD.22097,22097,POINT (16.410312511105083 48.19437365644543),"3., Thomas- Klestil- Platz 7/8",3,Stock 0,Town Town CB 16 Ebene 0 Haupteingang,Bitte ÷ffnungszeiten beachten,
DEFIBRILLATOROGD.22098,22098,POINT (16.410175461260486 48.19447800934618),"3., Thomas-Klestil-Platz 7/1",3,Stock 6,KAV Krankenanstaltverbund Gen.Dir.,Bitte ÷ffnungszeiten beachten,
DEFIBRILLATOROGD.22099,22099,POINT (16.36983298656084 48.19433647024263),"4., Favoritenstraﬂe 18",4,,Portiersbereich,Bitte ÷ffnungszeiten beachten,
DEFIBRILLATOROGD.22100,22100,POINT (16.36141155808105 48.1950474128139),"4., Schˆnbrunnerstraﬂe 7/C",4,Stock 1,Patientenanwaltschaft,Bitte ÷ffnungszeiten beachten,
DEFIBRILLATOROGD.22101,22101,POINT (16.353243226153523 48.180603582435694),"5., Einsiedlergasse 2",5,,MA-48 Amtshaus,Bitte ÷ffnungszeiten beachten,
DEFIBRILLATOROGD.22102,22102,POINT (16.353243226153523 48.180603582435694),"5., Einsiedlergasse 2",5,,MA-48 Garage 5,Bitte ÷ffnungszeiten beachten,
DEFIBRILLATOROGD.22103,22103,POINT (16.34933799988193 48.18565266696287),"5., Einsiedlerplatz 18",5,,Einsiedlerbad,Bitte ÷ffnungszeiten beachten,
DEFIBRILLATOROGD.22104,22104,POINT (16.360397416900554 48.18210612440585),"5., Hollgasse 3",5,,beim Hallenwart,Bitte ÷ffnungszeiten beachten,
DEFIBRILLATOROGD.22105,22105,POINT (16.289989277311943 48.14521900898295),"23., Steinergasse 22",23,,beim Hallenwart,Bitte ÷ffnungszeiten beachten,
DEFIBRILLATOROGD.22106,22106,POINT (16.366898445548763 48.142785798737414),"23., S¸drandstraﬂe 2",23,,MA-48 Mistplatz,Bitte ÷ffnungszeiten beachten,
DEFIBRILLATOROGD.22107,22107,POINT (16.43147544928351 48.266501900061705),"21., Siemensstraﬂe 109",21,,,Bitte ÷ffnungszeiten beachten,
DEFIBRILLATOROGD.22108,22108,POINT (16.36823016141333 48.217283674935246),"1., Deutschmeisterplatz 3",1,,Kanzlei Zimmer 10,Bitte ÷ffnungszeiten beachten,
DEFIBRILLATOROGD.22109,22109,POINT (16.393535834872488 48.19654718726152),"3., Juchgasse 19",3,,Kanzlei Zimmer 108-111,Bitte ÷ffnungszeiten beachten,
