FID,SHAPE,NAME,ADRESSE,OEFFNUNGSZEITEN1,OEFFNUNGSZEITEN2,OEFFNUNGSZEITEN3,OEFFNUNGSZEITEN4,OEFFNUNGSZEITEN5,OEFFNUNGSZEITEN6,TELEFON,EMAIL,WEBLINK1,BEZIRK,SE_SDO_ROWID,SE_ANNO_CAD_DATA
VOLKSHOCHSCHULEOGD.140346,POINT (16.416676307105615 48.29159551873468),VHS Neu-Stammersdorf,"21., Brünner Straße 219",Mo bis Do: 9.00 bis 12.00 und 14.00 bis 19.00 Uhr,Fr: 09.00-14.00 Uhr,,,,,01 891 74 121 004,neustammersdorf@vhs.at,http://www.vhs.at/floridsdorf,21,140346,
VOLKSHOCHSCHULEOGD.140347,POINT (16.44688392453292 48.27267487052419),VHS Großfeldsiedlung,"21., Kürschnergasse 9",Mo bis Do: 9.00 bis 12.00 und 14.00 bis 19.00 Uhr,,<Null>,,,,01 891 74 121 005,grossfeldsiedlung@vhs.at,http://www.vhs.at/floridsdorf,21,140347,
VOLKSHOCHSCHULEOGD.140348,POINT (16.402611485443856 48.26101968867343),VHS Floridsdorf Pitkagasse,"21., Pitkagasse 3",Mo bis Do: 12.00 bis 14.00 Uhr und 16.00 bis 17.30 Uhr,Fr: 12.00 bis 14.00 Uhr,,,,,01 891 74 121 001,pitkagasse@vhs.at,http://www.vhs.at/floridsdorf,21,140348,
VOLKSHOCHSCHULEOGD.140349,POINT (16.438573696732533 48.24078593497293),VHS Donaustadt,"22., Bernoullistraße 1",Mo bis Do: 9.00 bis 19.30 Uhr,Fr: 9.00 bis 18.30 Uhr,,,,,01 891 74 122 000,donaustadt@vhs.at,http://www.vhs.at/donaustadt,22,140349,
VOLKSHOCHSCHULEOGD.140350,POINT (16.283671744482884 48.13488887577557),VHS Liesing,"23., Liesinger Platz 2",Mo bis Fr: 09.00-19.00 Uhr,Fr: 09.00-15.00 Uhr,,,,,01 891 74 123 000,liesing@vhs.at,http://www.vhs.at/liesing,23,140350,
VOLKSHOCHSCHULEOGD.140320,POINT (16.32007127147534 48.150287923335384),VHS Erlaa,"23., Putzendoplergasse 4",Mo bis Do: 09.00-13.30 Uhr und 14.30-19.00 Uh,,,,,,01 891 74 123 002,erlaa@vhs.at,http://www.vhs.at/liesing,23,140320,
VOLKSHOCHSCHULEOGD.140321,POINT (16.371467846492173 48.23343664490684),IKH Institut für Kindergarten- und Hortpädagogik,"22., Raffaelgasse 11-13",Mo bis Fr: 09.00-20.00 Uhr,,,,,,01 891 74 120 000,brigittenau@vhs.at,http://www.vhs.at/brigittenau,22,140321,
VOLKSHOCHSCHULEOGD.140322,POINT (16.35919424402463 48.19147485589629),VHS KunstHandWerk,"5., Schlossgasse 23",Mo bis Fr: 08.30-18.30 Uhr,,,,,,01 891 74 105 000,polycollege@vhs.at,http://www.vhs.at/polycollege,5,140322,
VOLKSHOCHSCHULEOGD.140323,POINT (16.349498387589435 48.18237188479908),Film und Medien Zentrum Margareten,"5., Johannagasse 2",Mo bis Do: 09.00-19.30 Uhr,,,,,,01 891 74 105 002,medienzentrum@vhs.at,http://www.vhs.at/fmz,5,140323,
VOLKSHOCHSCHULEOGD.140324,POINT (16.411794364206994 48.17416810691229),VHS Simmering,"11., Gottschalkgasse 10",Mo bis Fr: 09.00 bis 19.00 Uhr,,,,,,01 891 74 111 000,simmering@vhs.at,http://www.vhs.at/simmering,11,140324,
VOLKSHOCHSCHULEOGD.140325,POINT (16.38389781507384 48.211447723314535),VHS Urania,"1., Uraniastraße 1",Mo bis Fr: 09.00 bis 19.30 Uhr,,,,,,01 891 74 101 000,urania@vhs.at,http://www.vhs.at/urania,1,140325,
VOLKSHOCHSCHULEOGD.140326,POINT (16.39579768229243 48.20017055156843),VHS Landstraße,"3., Hainburgerstraße 29",Mo bis Fr: 9 bis 19.30 Uhr,,,,,,01 891 74 103 000,landstrasse@vhs.at,http://www.vhs.at/landstrasse,3,140326,
VOLKSHOCHSCHULEOGD.140327,POINT (16.354974598688496 48.18549547370463),VHS polycollege Margareten - Wieden,"5., Stöbergasse 11-15",Mo bis Fr: 09.00-18.30 Uhr,,,,,,01 891 74 105 000,polycollege@vhs.at,http://www.vhs.at/polycollege,5,140327,
VOLKSHOCHSCHULEOGD.140328,POINT (16.35570839243854 48.18597154117348),VHS polycollege Siebenbrunnengasse,"5., Siebenbrunnengasse 37",Mo bis Fr: 08.30-18.30 Uhr,,,,,,01 891 74 105 001,siebenbrunnengasse@vhs.at,http://www.vhs.at/polycollege,5,140328,
VOLKSHOCHSCHULEOGD.140329,POINT (16.349442582530642 48.182376414901185),VHS polycollege Johannagasse,"5., Johannagasse 2",Mo bis Do: 09.00-19.30 Uhr,Fr: 09.00-15.00 Uhr,,,,,01 891 74 105 002,johannagasse@vhs.at,http://www.vhs.at/polycollege,5,140329,
VOLKSHOCHSCHULEOGD.140330,POINT (16.36928874540537 48.19242724832682),VHS polycollege Wieden,"4., Danhausergasse 1",Mo bis Do: 09.00-18.00 Uhr,,,,,,01 891 74 105 003,wieden@vhs.at,http://www.vhs.at/polycollege,4,140330,
VOLKSHOCHSCHULEOGD.140331,POINT (16.35917226717181 48.19149974091451),VHS polycollege Schlossgasse,"5., Schlossgasse 23",Mo-Fr 8.30-18.30,,,,,,01 891 74 105 004,schlossgasse@vhs.at,http://www.vhs.at/polycollege,5,140331,
VOLKSHOCHSCHULEOGD.140332,POINT (16.35047034570548 48.197105273513),VHS Mriahilf,"6., Damböckgasse 4",Mo bis Fr: 9.00 bis 12.00 und 14.30 bis 19.30 Uhr,,,,,,01 891 74 106 000,mariahilf@vhs.at,http://www.vhs.at/mariahilf,6,140332,
VOLKSHOCHSCHULEOGD.140333,POINT (16.346419074465178 48.21730771684954),Die Kunst VHS,"9., Lazarettgasse 27",Mo bis Fr: 9.00 bis 18.00,,,,,,01 891 74 154 000,kvh@vhs.at,http://www.vhs.at/kvh,9,140333,
VOLKSHOCHSCHULEOGD.140334,POINT (16.35434680911379 48.225868662816545),VHS Alsergrund,"9., Galileigasse 8",Mo bis Fr: 9.00 bis 19.00,,,,,,01 891 74 109 000,alsergrund@vhs.at,http://www.vhs.at/alsergrund,9,140334,
VOLKSHOCHSCHULEOGD.140335,POINT (16.349927218602534 48.23909441137307),VHS Döbling,"19., Gatterburggasse 2a",Mo bis Do: 09.00-19.00 Uhr,Fr:  09.00 - 12.00 Uhr,,I,,,01 891 74 109 002,doebling@vhs.at,http://www.vhs.at/alsergrund,19,140335,
VOLKSHOCHSCHULEOGD.140351,POINT (16.31449635082046 48.150112363677046),VHS BG Alt-Erlaa,"23., Anton-Baumgartner-Straße 123",Mo bis Fr: 17.00 bis 20.30 Uhr,,,,,,01 891 74 123 003,markus.rauscher@vhs.at,http://www.vhs.at/liesing,23,140351,
VOLKSHOCHSCHULEOGD.140352,POINT (16.269416378627092 48.152074756734415),VHS Mauer,"23., Speisingerstraße 256",Mo bis Fr: 09.00-19.00 Uhr,Fr: 09.00-15.00 Uhr,,,,,01 891 74 123 001,mauer@vhs.at,http://www.vhs.at/liesing,23,140352,
VOLKSHOCHSCHULEOGD.140353,POINT (16.38389781507384 48.211447723314535),Urania Sternwarte,"1., Uraniastraße 1",Mo bis Do: 09.00-13.00 und 14.00-16.00 Uhr,Fr: 09.00-14.00 Uhr,,,,,01 891 74 150 000,sternwarten@vhs.at,http://www.uraniasternwarte.at,1,140353,
VOLKSHOCHSCHULEOGD.140354,POINT (16.394943445415446 48.21623208768909),Planetarium Wien,"2., Oswald-Thomas-Platz 1",Mo bis Do: 09.00-13.00 und 14.00-16.00 Uhr,Fr: 09.00-14.00 Uhr,,,,,01 891 74 150 000,sternwarten@vhs.at,http://www.planetarium-wien.at,2,140354,
VOLKSHOCHSCHULEOGD.140355,POINT (16.29124080894899 48.21273137295029),Kuffner Sternwarte,"16., Johann-Staud-Straße 10",Mo bis Do: 09.00 bis 13.00 und 14.00 bis 16.00 Uhr,Fr: 09.00 bis 14.00 Uhr,,,,,01 891 74 150 000,sternwarten@vhs.at,http://www.kuffnersternwarte.at,16,140355,
VOLKSHOCHSCHULEOGD.140356,POINT (16.374395836193294 48.17480255274503),"""die umweltberatung"" Wien","10., Buchengasse 77/4. Stock",,,,,,,01 803 32 32-0,service@umweltberatung.at,http://www.umweltberatung.at,10,140356,
VOLKSHOCHSCHULEOGD.140357,POINT (16.292609721069933 48.196252069776264),D.R.Z  Demontage- und Recycling-Zentrum,"14., Vogtgasse 29",,,,,,,01 891 74 155 000,drz@vhs.at,http://www.vhs.at/drz,14,140357,
VOLKSHOCHSCHULEOGD.140358,POINT (16.38963425235129 48.21899711436595),Jüdisches Institut für Erwachsenenbildung,"2., Praterstern 1",Mo bis Do: 09.00-13.00 und 17.00-19.00 Uhr,Fr: 09.00 bis 13.00 Uhr,,,,,01 891 74 153 000,jife@vhs.at,http://www.vhs.at/jife,2,140358,
VOLKSHOCHSCHULEOGD.140359,POINT (16.44688392453292 48.27267487052419),Österreichisches Volkshochschularchiv,"21., Kürschnergasse 9",Mo bis Do: 9.00 bis 16.00 Uhr,Fr: 9.00 bis 14.00 Uhr,,,,,01 891 74 156 000,archiv@vhs.at,http://www.vhs.at/vhsarchiv,21,140359,
VOLKSHOCHSCHULEOGD.140360,POINT (16.32486763285082 48.19030731411851),VHS Rudolfsheim-Fünfhaus,"15., Schwendergasse 41",Mo bis Fr: 9.00 bis 19.30 Uhr,,<Null>,,,,01 891 74 115 000,office.rudolfsheim@vhs.at,http://www.vhs.at/rudolfsheim,15,140360,
VOLKSHOCHSCHULEOGD.140361,POINT (16.41176177038321 48.27526773280512),VHS Großjedlersdorf,"21., Siemensstraße 17",Mo bis Do: 09.00-12.00 und 14.00-19.00 Uhr,Fr: 09.00-14.00 Uhr,,,,,01 891 74 121 006,grossjedlersdorf@vhs.at,http://www.vhs.at/floridsdorf,21,140361,
VOLKSHOCHSCHULEOGD.140362,POINT (16.364521158960063 48.2540447591307),VHS Heiligenstadt,"19., Heiligenstädter Straße 155",Mo bis Do: 09.00-19.00 Uhr,Fr:  09.00 - 12.00 Uhr,,,,,01 891 74 109 100,heiligenstadt@vhs.at,http://www.vhs.at/alsergrund,19,140362,
VOLKSHOCHSCHULEOGD.140363,POINT (16.352099867625245 48.21049249110073),VHS Josefstadt,"8., Schmidgasse 18",Mo bis Fr: 9.00 bis 12.00 und 14.00 bis 18.30 Uhr,,,,,,01 891 74 106 001,josefstadt@vhs.at,http://www.vhs.at/mariahilf,8,140363,
VOLKSHOCHSCHULEOGD.140364,POINT (16.477983636967323 48.219300156570505),VHS Eibengasse,"22., Eibengasse 57",Mo bis Do: 9.00 bis 18.30,Fr: 9.00 bis 14.00 Uhr,,,,,01 891 74 122 001,eibengasse@vhs.at,http://www.vhs.at/donaustadt,22,140364,
VOLKSHOCHSCHULEOGD.140365,POINT (16.296042782374972 48.19465207699197),VHS Penzing,"14., Linzer Straße 146",Mo bis Do: 09.00 bis 19.00 Uhr,Fr: 09.00 bis 16.00 Uhr,,,,,01 891 74 114 000,penzing@vhs.at,http://www.vhs.at/penzing,14,140365,
